Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Bélgica,109.749,Baja,Individual,"3,5","69,9",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,07"
2019,1,Bélgica,14.776,Baja,Individual,"4,6","69,4",Andalucía,Carretera,No disponible,No disponible,No disponible,"7,92"
2019,1,Bélgica,1.642,Baja,Individual,"3,1","65,0",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,0"
2019,1,Bélgica,126,Baja,Individual,"4,3","65,0",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"7,84"
2019,2,Bélgica,114.140,Baja,Paquete,"5,4","55,9",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,16"
2019,2,Bélgica,15.367,Baja,Individual,"5,3","60,3",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"7,99"
2019,2,Bélgica,1.707,Baja,Individual,"5,5","55,6",Canarias,Puerto,No disponible,No disponible,No disponible,"8,0"
2019,2,Bélgica,131,Baja,Individual,"5,0","55,4",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"7,93"
2019,3,Bélgica,149.259,Media,Individual,"7,9","59,0",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"7,92"
2019,3,Bélgica,20.096,Media,Individual,"7,7","55,8",Canarias,Carretera,No disponible,No disponible,No disponible,"7,9"
2019,3,Bélgica,2.233,Media,Individual,"9,6","58,9",Canarias,Puerto,No disponible,No disponible,No disponible,"8,08"
2019,3,Bélgica,172,Media,Individual,"7,8","50,6",Canarias,Tren,No disponible,No disponible,No disponible,"7,95"
2019,4,Bélgica,164.625,Media,Individual,"10,4","53,1",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,16"
2019,4,Bélgica,22.165,Media,Individual,"9,3","45,8",Canarias,Carretera,No disponible,No disponible,No disponible,"8,34"
2019,4,Bélgica,2.463,Media,Individual,"10,5","54,4",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,16"
2019,4,Bélgica,189,Media,Individual,"9,4","51,7",Canarias,Tren,No disponible,No disponible,No disponible,"8,27"
2019,5,Bélgica,215.110,Media-Alta,Paquete,"13,5","56,8",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,43"
2019,5,Bélgica,28.962,Media-Alta,Individual,"13,2","57,1",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,25"
2019,5,Bélgica,3.218,Media-Alta,Individual,"14,5","58,2",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,1"
2019,5,Bélgica,248,Media-Alta,Individual,"15,7","58,5",Cataluña,Tren,No disponible,No disponible,No disponible,"8,13"
2019,6,Bélgica,223.889,Media-Alta,Paquete,"16,3","78,6",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,74"
2019,6,Bélgica,30.144,Media-Alta,Paquete,"18,3","80,2",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,97"
2019,6,Bélgica,3.349,Media-Alta,Individual,"17,6","77,2",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,37"
2019,6,Bélgica,258,Media-Alta,Paquete,"18,1","84,4",Canarias,Tren,No disponible,No disponible,No disponible,"8,79"
2019,7,Bélgica,186.574,Media,Paquete,"21,4","80,1",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,92"
2019,7,Bélgica,25.120,Media,Individual,"18,8","85,3",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,37"
2019,7,Bélgica,2.791,Media,Individual,"19,9","86,5",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,63"
2019,7,Bélgica,215,Media,Individual,"19,9","85,0",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,74"
2019,8,Bélgica,333.640,Alta,Individual,"18,7","78,4",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,31"
2019,8,Bélgica,44.920,Alta,Paquete,"18,1","79,5",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,67"
2019,8,Bélgica,4.991,Alta,Individual,"21,6","77,0",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,6"
2019,8,Bélgica,384,Alta,Paquete,"19,2","81,0",Canarias,Tren,No disponible,No disponible,No disponible,"8,55"
2019,9,Bélgica,259.010,Media-Alta,Paquete,"17,1","66,9",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,56"
2019,9,Bélgica,34.872,Media-Alta,Individual,"16,5","67,8",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,8"
2019,9,Bélgica,3.875,Media-Alta,Paquete,"16,2","69,8",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,84"
2019,9,Bélgica,298,Media-Alta,Individual,"16,1","63,7",Cataluña,Tren,No disponible,No disponible,No disponible,"8,49"
2019,10,Bélgica,186.574,Media,Individual,"13,9","58,7",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,34"
2019,10,Bélgica,25.120,Media,Individual,"14,5","57,6",Canarias,Carretera,No disponible,No disponible,No disponible,"8,27"
