Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Brasil,35.674,Media,Individual,"27,7","241,0",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,29"
2019,1,Brasil,9.795,Media,Individual,"27,9","208,4",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,24"
2019,1,Brasil,1.680,Media,Individual,"28,4","223,9",Cataluña,Puerto,No disponible,No disponible,No disponible,"7,99"
2019,1,Brasil,864,Media,Paquete,"25,9","248,7",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,42"
2019,2,Brasil,26.021,Media,Individual,"26,5","226,4",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"7,99"
2019,2,Brasil,7.144,Media,Individual,"27,5","187,1",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,2"
2019,2,Brasil,1.226,Media,Individual,"28,7","206,2",Andalucía,Puerto,No disponible,No disponible,No disponible,"7,86"
2019,2,Brasil,630,Media,Individual,"28,8","206,4",Cataluña,Tren,No disponible,No disponible,No disponible,"7,85"
2019,3,Brasil,36.932,Media,Paquete,"25,4","188,0",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,43"
2019,3,Brasil,10.140,Media,Individual,"26,2","193,9",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,1"
2019,3,Brasil,1.740,Media,Paquete,"28,2","165,8",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,42"
2019,3,Brasil,895,Media,Individual,"24,1","176,6",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,16"
2019,4,Brasil,27.280,Media,Individual,"25,2","169,6",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,39"
2019,4,Brasil,7.490,Media,Individual,"24,1","145,2",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,38"
2019,4,Brasil,1.285,Media,Paquete,"24,4","135,6",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,48"
2019,4,Brasil,661,Media,Individual,"26,0","129,0",Cataluña,Tren,No disponible,No disponible,No disponible,"8,37"
2019,5,Brasil,34.414,Media,Individual,"24,4","110,8",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,33"
2019,5,Brasil,9.449,Media,Individual,"22,9","109,3",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,39"
2019,5,Brasil,1.621,Media,Individual,"22,5","123,0",Galicia,Puerto,No disponible,No disponible,No disponible,"8,31"
2019,5,Brasil,834,Media,Individual,"24,6","102,0",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,19"
2019,6,Brasil,48.264,Media-Alta,Individual,"18,8","66,0",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,42"
2019,6,Brasil,13.251,Media-Alta,Individual,"21,8","53,9",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,75"
2019,6,Brasil,2.274,Media-Alta,Individual,"21,8","83,8",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,67"
2019,6,Brasil,1.169,Media-Alta,Individual,"20,1","44,2",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,79"
2019,7,Brasil,41.130,Media-Alta,Individual,"20,0","64,4",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,73"
2019,7,Brasil,11.293,Media-Alta,Paquete,"18,2","69,5",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,54"
2019,7,Brasil,1.937,Media-Alta,Individual,"19,6","38,5",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,79"
2019,7,Brasil,996,Media-Alta,Individual,"20,9","35,0",Cataluña,Tren,No disponible,No disponible,No disponible,"8,43"
2019,8,Brasil,52.461,Alta,Individual,"21,7","84,2",Galicia,Aeropuerto,No disponible,No disponible,No disponible,"8,69"
2019,8,Brasil,14.404,Alta,Individual,"21,9","51,4",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,37"
2019,8,Brasil,2.471,Alta,Individual,"23,9","87,4",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,46"
2019,8,Brasil,1.271,Alta,Individual,"23,0","89,8",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,76"
2019,9,Brasil,30.217,Media,Individual,"23,2","85,0",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,39"
2019,9,Brasil,8.296,Media,Individual,"24,9","77,9",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,69"
2019,9,Brasil,1.423,Media,Individual,"21,9","96,2",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,7"
2019,9,Brasil,732,Media,Individual,"22,0","89,1",Galicia,Tren,No disponible,No disponible,No disponible,"8,74"
2019,10,Brasil,21.823,Baja,Individual,"24,1","105,9",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,33"
2019,10,Brasil,5.992,Baja,Paquete,"22,9","138,2",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,31"
2019,10,Brasil,1.028,Baja,Paquete,"26,4","148,7",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,54"
2019,10,Brasil,529,Baja,Individual,"26,9","147,4",Cataluña,Tren,No disponible,No disponible,No disponible,"8,21"
2019,11,Brasil,35.674,Media,Individual,"27,7","166,3",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"7,93"
2019,11,Brasil,9.795,Media,Individual,"26,2","151,3",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,15"
2019,11,Brasil,1.680,Media,Individual,"25,7","176,1",Cataluña,Puerto,No disponible,No disponible,No disponible,"7,83"
2019,11,Brasil,864,Media,Paquete,"23,7","170,3",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,24"
2019,12,Brasil,29.798,Media,Individual,"27,8","203,9",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"7,99"
2019,12,Brasil,8.181,Media,Paquete,"25,4","196,2",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,32"
2019,12,Brasil,1.404,Media,Individual,"26,7","207,0",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,11"
2019,12,Brasil,722,Media,Individual,"29,0","217,4",Cataluña,Tren,No disponible,No disponible,No disponible,"8,13"
2020,1,Brasil,29.744,Alta,Individual,"27,5","239,5",Cataluña,Aeropuerto,638,204957,140512,"8,11"
2020,1,Brasil,16.160,Alta,Individual,"29,1","207,4",Cataluña,Carretera,638,204957,140512,"8,15"
2020,1,Brasil,3.131,Alta,Individual,"29,9","205,4",Cataluña,Puerto,638,204957,140512,"7,98"
2020,1,Brasil,1.464,Alta,Individual,"28,1","247,2",Galicia,Tren,638,204957,140512,"8,19"
2020,2,Brasil,25.115,Alta,Individual,"25,3","190,8",Andalucía,Aeropuerto,638,204957,140512,"7,92"
2020,2,Brasil,13.645,Alta,Individual,"25,7","190,6",Galicia,Carretera,638,204957,140512,"8,08"
2020,2,Brasil,2.644,Alta,Individual,"30,0","189,4",Comunidad de Madrid,Puerto,638,204957,140512,"8,29"
2020,2,Brasil,1.237,Alta,Individual,"25,6","190,8",Cataluña,Tren,638,204957,140512,"7,98"
2020,3,Brasil,8.371,Media,Individual,"27,3","189,3",Galicia,Aeropuerto,638,204957,140512,"8,23"
2020,3,Brasil,4.548,Media,Individual,"26,7","187,4",Andalucía,Carretera,638,204957,140512,"7,86"
