Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Dinamarca,61.093,Baja,Individual,"0,1","55,5",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,29"
2019,1,Dinamarca,1.126,Baja,Paquete,"-0,1","55,3",Canarias,Carretera,No disponible,No disponible,No disponible,"8,12"
2019,1,Dinamarca,250,Baja,Individual,"1,8","66,8",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,09"
2019,1,Dinamarca,63,Baja,Individual,"0,2","50,6",Andalucía,Tren,No disponible,No disponible,No disponible,"7,85"
2019,2,Dinamarca,68.143,Baja,Paquete,"-0,8","53,8",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,24"
2019,2,Dinamarca,1.255,Baja,Individual,"2,0","59,1",Canarias,Carretera,No disponible,No disponible,No disponible,"8,23"
2019,2,Dinamarca,279,Baja,Individual,"-0,9","42,2",Canarias,Puerto,No disponible,No disponible,No disponible,"8,2"
2019,2,Dinamarca,70,Baja,Individual,"0,7","41,6",Cataluña,Tren,No disponible,No disponible,No disponible,"8,02"
2019,3,Dinamarca,84.591,Media,Individual,"4,6","47,5",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"7,99"
2019,3,Dinamarca,1.558,Media,Paquete,"4,3","47,4",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,17"
2019,3,Dinamarca,346,Media,Individual,"5,2","52,7",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,1"
2019,3,Dinamarca,87,Media,Individual,"2,8","56,9",Andalucía,Tren,No disponible,No disponible,No disponible,"7,99"
2019,4,Dinamarca,99.864,Media,Individual,"10,0","40,9",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,35"
2019,4,Dinamarca,1.840,Media,Individual,"5,0","41,7",Baleares,Carretera,No disponible,No disponible,No disponible,"8,24"
2019,4,Dinamarca,409,Media,Individual,"7,6","52,0",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,17"
2019,4,Dinamarca,102,Media,Individual,"8,9","35,6",Canarias,Tren,No disponible,No disponible,No disponible,"8,35"
2019,5,Dinamarca,103.388,Media,Individual,"10,5","50,6",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,39"
2019,5,Dinamarca,1.905,Media,Paquete,"11,1","57,0",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,4"
2019,5,Dinamarca,423,Media,Individual,"13,9","49,4",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,4"
2019,5,Dinamarca,106,Media,Individual,"11,6","56,7",Canarias,Tren,No disponible,No disponible,No disponible,"8,17"
2019,6,Dinamarca,96.339,Media,Individual,"15,4","64,1",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,76"
2019,6,Dinamarca,1.775,Media,Individual,"15,0","54,9",Baleares,Carretera,No disponible,No disponible,No disponible,"8,62"
