Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,EE.UU.,125.401,Baja,Individual,"5,0","90,0",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,04"
2019,1,EE.UU.,4.748,Baja,Individual,"3,0","99,2",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"7,87"
2019,1,EE.UU.,7.960,Baja,Individual,"3,8","109,6",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,02"
2019,1,EE.UU.,1.536,Baja,Individual,"2,6","105,1",Cataluña,Tren,No disponible,No disponible,No disponible,"7,82"
2019,2,EE.UU.,134.358,Baja,Individual,"3,9","85,4",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,18"
2019,2,EE.UU.,5.087,Baja,Paquete,"4,2","88,0",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,26"
2019,2,EE.UU.,8.528,Baja,Individual,"3,7","95,9",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,16"
2019,2,EE.UU.,1.646,Baja,Individual,"5,9","91,7",Cataluña,Tren,No disponible,No disponible,No disponible,"7,89"
2019,3,EE.UU.,214.973,Media,Individual,"7,9","115,4",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"7,98"
2019,3,EE.UU.,8.139,Media,Individual,"7,8","108,3",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,12"
2019,3,EE.UU.,13.645,Media,Individual,"5,6","117,3",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,0"
2019,3,EE.UU.,2.633,Media,Individual,"10,0","105,5",Andalucía,Tren,No disponible,No disponible,No disponible,"8,03"
2019,4,EE.UU.,232.887,Media,Individual,"11,0","107,4",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,31"
2019,4,EE.UU.,8.818,Media,Paquete,"11,6","97,2",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,4"
2019,4,EE.UU.,14.782,Media,Individual,"10,7","108,9",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,38"
2019,4,EE.UU.,2.853,Media,Paquete,"10,1","96,7",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,42"
2019,5,EE.UU.,304.545,Media-Alta,Paquete,"16,4","84,3",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,57"
2019,5,EE.UU.,11.531,Media-Alta,Individual,"19,3","87,5",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,38"
2019,5,EE.UU.,19.331,Media-Alta,Paquete,"18,6","99,0",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,37"
2019,5,EE.UU.,3.731,Media-Alta,Individual,"19,6","94,9",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,15"
2019,6,EE.UU.,373.217,Alta,Paquete,"20,3","85,0",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,76"
2019,6,EE.UU.,14.131,Alta,Paquete,"22,0","80,6",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,72"
2019,6,EE.UU.,23.690,Alta,Individual,"24,6","73,3",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,66"
2019,6,EE.UU.,4.572,Alta,Paquete,"23,2","89,8",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,8"
2019,7,EE.UU.,382.174,Alta,Individual,"24,1","61,6",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,73"
2019,7,EE.UU.,14.470,Alta,Individual,"27,9","75,8",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,42"
2019,7,EE.UU.,24.258,Alta,Individual,"24,2","71,6",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,68"
2019,7,EE.UU.,4.681,Alta,Individual,"25,9","72,4",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,73"
2019,8,EE.UU.,253.787,Media,Individual,"26,2","75,0",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,57"
2019,8,EE.UU.,9.609,Media,Individual,"26,1","77,8",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,74"
2019,8,EE.UU.,16.109,Media,Individual,"24,9","70,8",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,71"
2019,8,EE.UU.,3.109,Media,Individual,"26,8","69,8",Cataluña,Tren,No disponible,No disponible,No disponible,"8,35"
2019,9,EE.UU.,334.402,Media-Alta,Individual,"22,7","78,9",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,56"
2019,9,EE.UU.,12.661,Media-Alta,Paquete,"20,3","85,7",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,8"
2019,9,EE.UU.,21.226,Media-Alta,Individual,"23,8","89,5",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,56"
2019,9,EE.UU.,4.096,Media-Alta,Paquete,"23,3","86,3",Cataluña,Tren,No disponible,No disponible,No disponible,"8,5"
2019,10,EE.UU.,274.687,Media-Alta,Individual,"15,5","86,0",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,29"
2019,10,EE.UU.,10.400,Media-Alta,Individual,"15,5","91,4",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,21"
2019,10,EE.UU.,17.436,Media-Alta,Individual,"17,4","97,3",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,16"
2019,10,EE.UU.,3.365,Media-Alta,Paquete,"19,3","83,2",Cataluña,Tren,No disponible,No disponible,No disponible,"8,37"
2019,11,EE.UU.,214.973,Media,Individual,"8,1","100,3",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"7,91"
2019,11,EE.UU.,8.139,Media,Individual,"10,6","95,4",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,16"
