Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Finlandia,62.382,Media-Alta,Paquete,"-1,6","48,4",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,38"
2019,1,Finlandia,760,Media-Alta,Individual,"-3,6","41,4",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,47"
2019,1,Finlandia,63,Media-Alta,Individual,"-1,7","47,9",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,49"
2019,1,Finlandia,63,Media-Alta,Individual,"-3,5","40,5",Canarias,Tren,No disponible,No disponible,No disponible,"8,25"
2019,2,Finlandia,62.382,Media-Alta,Paquete,"-1,8","43,2",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,54"
2019,2,Finlandia,760,Media-Alta,Individual,"-0,5","42,9",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,1"
2019,2,Finlandia,63,Media-Alta,Individual,"-2,4","36,6",Baleares,Puerto,No disponible,No disponible,No disponible,"8,05"
2019,2,Finlandia,63,Media-Alta,Individual,"-2,0","42,4",Baleares,Tren,No disponible,No disponible,No disponible,"8,12"
2019,3,Finlandia,62.382,Media-Alta,Individual,"3,6","39,9",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,35"
2019,3,Finlandia,760,Media-Alta,Individual,"3,8","33,6",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,47"
2019,3,Finlandia,63,Media-Alta,Individual,"0,6","39,4",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,33"
2019,3,Finlandia,63,Media-Alta,Individual,"2,9","38,3",Canarias,Tren,No disponible,No disponible,No disponible,"8,53"
2019,4,Finlandia,62.382,Media-Alta,Paquete,"7,6","40,9",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,78"
