Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Irlanda,178.128,Media-Alta,Individual,"5,0","73,8",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,43"
2019,1,Irlanda,1.814,Media-Alta,Individual,"7,5","77,7",Canarias,Carretera,No disponible,No disponible,No disponible,"8,06"
2019,1,Irlanda,1.451,Media-Alta,Individual,"7,5","73,4",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,11"
2019,1,Irlanda,0,Media-Alta,Individual,"7,8","75,4",Canarias,Tren,No disponible,No disponible,No disponible,"8,21"
2019,2,Irlanda,178.128,Media-Alta,Individual,"6,9","61,0",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,29"
2019,2,Irlanda,1.814,Media-Alta,Individual,"4,9","69,3",Canarias,Carretera,No disponible,No disponible,No disponible,"8,48"
2019,2,Irlanda,1.451,Media-Alta,Individual,"4,9","69,7",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,26"
2019,2,Irlanda,0,Media-Alta,Individual,"7,6","68,8",Cataluña,Tren,No disponible,No disponible,No disponible,"8,37"
2019,3,Irlanda,178.128,Media-Alta,Individual,"8,2","57,3",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,35"
2019,3,Irlanda,1.814,Media-Alta,Individual,"9,5","55,8",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,53"
2019,3,Irlanda,1.451,Media-Alta,Individual,"8,3","59,1",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,41"
2019,3,Irlanda,0,Media-Alta,Individual,"9,8","58,0",Canarias,Tren,No disponible,No disponible,No disponible,"8,39"
2019,4,Irlanda,178.128,Media-Alta,Individual,"9,0","46,4",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,4"
2019,4,Irlanda,1.814,Media-Alta,Individual,"11,7","51,0",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,07"
2019,4,Irlanda,1.451,Media-Alta,Paquete,"12,0","48,6",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,46"
2019,4,Irlanda,0,Media-Alta,Individual,"7,3","49,2",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,48"
2019,5,Irlanda,178.128,Media-Alta,Individual,"13,1","40,8",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,05"
2019,5,Irlanda,1.814,Media-Alta,Individual,"12,9","47,1",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,48"
2019,5,Irlanda,1.451,Media-Alta,Individual,"11,2","41,9",Canarias,Puerto,No disponible,No disponible,No disponible,"8,32"
2019,5,Irlanda,0,Media-Alta,Individual,"12,7","48,5",Baleares,Tren,No disponible,No disponible,No disponible,"8,31"
2019,6,Irlanda,178.128,Media-Alta,Individual,"14,4","44,9",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,56"
2019,6,Irlanda,1.814,Media-Alta,Individual,"14,4","44,0",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,62"
2019,6,Irlanda,1.451,Media-Alta,Paquete,"15,1","37,2",Baleares,Puerto,No disponible,No disponible,No disponible,"8,97"
2019,6,Irlanda,0,Media-Alta,Paquete,"13,1","39,8",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"9,06"
2019,7,Irlanda,178.128,Media-Alta,Individual,"19,6","47,6",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,62"
2019,7,Irlanda,1.814,Media-Alta,Paquete,"16,1","48,8",Canarias,Carretera,No disponible,No disponible,No disponible,"8,99"
2019,7,Irlanda,1.451,Media-Alta,Individual,"16,1","48,9",Baleares,Puerto,No disponible,No disponible,No disponible,"8,46"
2019,7,Irlanda,0,Media-Alta,Individual,"15,3","43,9",Cataluña,Tren,No disponible,No disponible,No disponible,"8,73"
2019,8,Irlanda,178.128,Media-Alta,Paquete,"18,4","49,0",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,85"
2019,8,Irlanda,1.814,Media-Alta,Individual,"19,9","48,8",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,47"
2019,8,Irlanda,1.451,Media-Alta,Individual,"17,6","53,9",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,74"
2019,8,Irlanda,0,Media-Alta,Individual,"16,2","47,5",Andalucía,Tren,No disponible,No disponible,No disponible,"8,68"
2019,9,Irlanda,178.128,Media-Alta,Individual,"17,2","51,3",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,27"
2019,9,Irlanda,1.814,Media-Alta,Paquete,"17,2","51,5",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,37"
2019,9,Irlanda,1.451,Media-Alta,Paquete,"13,7","55,7",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,51"
2019,9,Irlanda,0,Media-Alta,Individual,"15,6","51,1",Canarias,Tren,No disponible,No disponible,No disponible,"8,24"
2019,10,Irlanda,178.128,Media-Alta,Individual,"11,7","68,4",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,56"
2019,10,Irlanda,1.814,Media-Alta,Individual,"14,0","69,2",Canarias,Carretera,No disponible,No disponible,No disponible,"8,4"
2019,10,Irlanda,1.451,Media-Alta,Individual,"12,1","62,3",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,53"
2019,10,Irlanda,0,Media-Alta,Individual,"13,0","69,2",Cataluña,Tren,No disponible,No disponible,No disponible,"8,45"
2019,11,Irlanda,178.128,Media-Alta,Individual,"6,9","71,9",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,55"
2019,11,Irlanda,1.814,Media-Alta,Individual,"6,3","68,3",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,37"
2019,11,Irlanda,1.451,Media-Alta,Individual,"10,9","73,1",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,38"
2019,11,Irlanda,0,Media-Alta,Individual,"7,0","65,1",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,36"
2019,12,Irlanda,178.128,Media-Alta,Individual,"4,8","75,1",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,25"
2019,12,Irlanda,1.814,Media-Alta,Individual,"4,3","79,5",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,23"
2019,12,Irlanda,1.451,Media-Alta,Individual,"5,1","78,9",Canarias,Puerto,No disponible,No disponible,No disponible,"8,06"
2019,12,Irlanda,0,Media-Alta,Individual,"5,6","77,9",Canarias,Tren,No disponible,No disponible,No disponible,"8,17"
2020,1,Irlanda,26.970,Media-Alta,Individual,"6,8","75,8",Canarias,Aeropuerto,4184,772832,389059,"8,11"
