Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Italia,349.396,Media-Alta,Paquete,"9,9","70,9",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,39"
2019,1,Italia,17.753,Media-Alta,Individual,"8,5","66,1",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,28"
2019,1,Italia,10.199,Media-Alta,Individual,"10,6","66,3",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,24"
2019,1,Italia,378,Media-Alta,Individual,"11,0","67,5",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,2"
2019,2,Italia,349.396,Media-Alta,Individual,"10,0","69,2",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,33"
2019,2,Italia,17.753,Media-Alta,Individual,"9,3","66,6",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,49"
2019,2,Italia,10.199,Media-Alta,Individual,"10,9","60,2",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,37"
2019,2,Italia,378,Media-Alta,Individual,"10,8","63,1",Baleares,Tren,No disponible,No disponible,No disponible,"8,42"
2019,3,Italia,349.396,Media-Alta,Individual,"14,4","62,4",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,32"
2019,3,Italia,17.753,Media-Alta,Individual,"14,8","57,0",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,59"
2019,3,Italia,10.199,Media-Alta,Individual,"14,1","58,7",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,59"
2019,3,Italia,378,Media-Alta,Individual,"11,2","55,2",Andalucía,Tren,No disponible,No disponible,No disponible,"8,31"
2019,4,Italia,349.396,Media-Alta,Individual,"14,8","53,6",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,49"
2019,4,Italia,17.753,Media-Alta,Paquete,"14,8","51,1",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,78"
2019,4,Italia,10.199,Media-Alta,Individual,"13,9","51,1",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,13"
2019,4,Italia,378,Media-Alta,Individual,"13,7","54,9",Cataluña,Tren,No disponible,No disponible,No disponible,"8,02"
2019,5,Italia,349.396,Media-Alta,Individual,"18,6","45,9",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,41"
2019,5,Italia,17.753,Media-Alta,Individual,"20,8","53,1",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,03"
2019,5,Italia,10.199,Media-Alta,Individual,"18,7","54,9",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,36"
2019,5,Italia,378,Media-Alta,Individual,"20,5","49,0",Andalucía,Tren,No disponible,No disponible,No disponible,"8,16"
2019,6,Italia,349.396,Media-Alta,Individual,"23,7","39,4",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,58"
2019,6,Italia,17.753,Media-Alta,Individual,"21,1","41,2",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,53"
2019,6,Italia,10.199,Media-Alta,Individual,"22,3","38,4",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,61"
2019,6,Italia,378,Media-Alta,Individual,"24,4","38,9",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,66"
2019,7,Italia,349.396,Media-Alta,Individual,"27,9","34,5",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,72"
2019,7,Italia,17.753,Media-Alta,Individual,"24,8","29,6",Baleares,Carretera,No disponible,No disponible,No disponible,"8,57"
2019,7,Italia,10.199,Media-Alta,Individual,"26,4","31,3",Baleares,Puerto,No disponible,No disponible,No disponible,"8,65"
2019,7,Italia,378,Media-Alta,Paquete,"24,8","25,1",Cataluña,Tren,No disponible,No disponible,No disponible,"8,8"
2019,8,Italia,349.396,Media-Alta,Individual,"27,4","36,5",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,78"
2019,8,Italia,17.753,Media-Alta,Individual,"27,3","34,0",Baleares,Carretera,No disponible,No disponible,No disponible,"8,66"
2019,8,Italia,10.199,Media-Alta,Individual,"24,2","34,0",Baleares,Puerto,No disponible,No disponible,No disponible,"8,68"
2019,8,Italia,378,Media-Alta,Paquete,"27,4","30,6",Cataluña,Tren,No disponible,No disponible,No disponible,"9,05"
2019,9,Italia,349.396,Media-Alta,Individual,"21,6","45,2",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,45"
2019,9,Italia,17.753,Media-Alta,Individual,"24,9","51,9",Baleares,Carretera,No disponible,No disponible,No disponible,"8,0"
2019,9,Italia,10.199,Media-Alta,Paquete,"24,7","48,6",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,43"
2019,9,Italia,378,Media-Alta,Individual,"24,7","46,6",Baleares,Tren,No disponible,No disponible,No disponible,"8,16"
2019,10,Italia,349.396,Media-Alta,Paquete,"16,1","58,6",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,75"
2019,10,Italia,17.753,Media-Alta,Individual,"19,7","58,6",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,44"
2019,10,Italia,10.199,Media-Alta,Individual,"17,7","59,8",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,48"
2019,10,Italia,378,Media-Alta,Individual,"16,6","60,8",Baleares,Tren,No disponible,No disponible,No disponible,"8,34"
2019,11,Italia,349.396,Media-Alta,Individual,"12,0","71,1",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,54"
2019,11,Italia,17.753,Media-Alta,Individual,"12,0","71,3",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,41"
2019,11,Italia,10.199,Media-Alta,Individual,"14,3","71,8",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,39"
2019,11,Italia,378,Media-Alta,Individual,"14,6","67,9",Cataluña,Tren,No disponible,No disponible,No disponible,"8,48"
2019,12,Italia,349.396,Media-Alta,Paquete,"9,7","72,7",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,4"
2019,12,Italia,17.753,Media-Alta,Individual,"10,6","71,9",Baleares,Carretera,No disponible,No disponible,No disponible,"8,04"
2019,12,Italia,10.199,Media-Alta,Individual,"9,5","76,3",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,14"
2019,12,Italia,378,Media-Alta,Individual,"12,6","79,8",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,02"
2020,1,Italia,71.027,Media-Alta,Individual,"9,5","67,3",Comunidad de Madrid,Aeropuerto,16058,2766697,1681839,"8,29"
2020,1,Italia,5.919,Media-Alta,Individual,"10,8","67,0",Comunidad de Madrid,Carretera,16058,2766697,1681839,"8,31"
2020,1,Italia,1.973,Media-Alta,Individual,"11,6","68,8",Cataluña,Puerto,16058,2766697,1681839,"8,25"
2020,1,Italia,0,Media-Alta,Individual,"10,3","71,5",Andalucía,Tren,16058,2766697,1681839,"8,08"
