Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Luxemburgo,14.231,Media-Alta,Individual,"1,1","78,8",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,06"
2019,1,Luxemburgo,1.713,Media-Alta,Individual,"0,6","76,5",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,24"
2019,1,Luxemburgo,16,Media-Alta,Individual,"0,0","74,4",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,21"
2019,1,Luxemburgo,48,Media-Alta,Individual,"3,6","73,3",Cataluña,Tren,No disponible,No disponible,No disponible,"8,48"
2019,2,Luxemburgo,14.231,Media-Alta,Individual,"3,9","74,2",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,26"
2019,2,Luxemburgo,1.713,Media-Alta,Individual,"3,6","66,2",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,37"
2019,2,Luxemburgo,16,Media-Alta,Individual,"2,5","72,1",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,14"
2019,2,Luxemburgo,48,Media-Alta,Paquete,"3,9","72,4",Andalucía,Tren,No disponible,No disponible,No disponible,"8,45"
2019,3,Luxemburgo,14.231,Media-Alta,Individual,"5,4","68,6",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,41"
2019,3,Luxemburgo,1.713,Media-Alta,Individual,"7,7","64,9",Baleares,Carretera,No disponible,No disponible,No disponible,"8,32"
2019,3,Luxemburgo,16,Media-Alta,Individual,"4,0","66,5",Baleares,Puerto,No disponible,No disponible,No disponible,"8,35"
2019,3,Luxemburgo,48,Media-Alta,Individual,"5,5","67,7",Baleares,Tren,No disponible,No disponible,No disponible,"8,36"
2019,4,Luxemburgo,14.231,Media-Alta,Individual,"7,6","62,3",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,05"
2019,4,Luxemburgo,1.713,Media-Alta,Individual,"8,0","59,7",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,04"
2019,4,Luxemburgo,16,Media-Alta,Individual,"10,6","64,0",Baleares,Puerto,No disponible,No disponible,No disponible,"8,15"
2019,4,Luxemburgo,48,Media-Alta,Individual,"9,1","56,0",Cataluña,Tren,No disponible,No disponible,No disponible,"8,12"
2019,5,Luxemburgo,14.231,Media-Alta,Individual,"13,9","53,8",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,06"
2019,5,Luxemburgo,1.713,Media-Alta,Paquete,"15,7","53,2",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,79"
2019,5,Luxemburgo,16,Media-Alta,Individual,"11,1","57,0",Canarias,Puerto,No disponible,No disponible,No disponible,"8,42"
2019,5,Luxemburgo,48,Media-Alta,Paquete,"13,8","58,2",Cataluña,Tren,No disponible,No disponible,No disponible,"8,69"
2019,6,Luxemburgo,14.231,Media-Alta,Individual,"18,9","49,9",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,73"
2019,6,Luxemburgo,1.713,Media-Alta,Individual,"18,5","50,6",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,77"
2019,6,Luxemburgo,16,Media-Alta,Individual,"16,8","45,2",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,73"
2019,6,Luxemburgo,48,Media-Alta,Individual,"14,2","49,7",Cataluña,Tren,No disponible,No disponible,No disponible,"8,62"
2019,7,Luxemburgo,14.231,Media-Alta,Individual,"17,8","44,7",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,7"
2019,7,Luxemburgo,1.713,Media-Alta,Paquete,"18,5","45,7",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,76"
2019,7,Luxemburgo,16,Media-Alta,Paquete,"19,5","42,9",Baleares,Puerto,No disponible,No disponible,No disponible,"8,9"
2019,7,Luxemburgo,48,Media-Alta,Individual,"18,4","48,2",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,48"
2019,8,Luxemburgo,14.231,Media-Alta,Paquete,"16,9","47,3",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"9,02"
2019,8,Luxemburgo,1.713,Media-Alta,Individual,"17,7","42,6",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,65"
2019,8,Luxemburgo,16,Media-Alta,Individual,"20,3","40,6",Baleares,Puerto,No disponible,No disponible,No disponible,"8,78"
2019,8,Luxemburgo,48,Media-Alta,Individual,"20,6","46,6",Baleares,Tren,No disponible,No disponible,No disponible,"8,44"
2019,9,Luxemburgo,14.231,Media-Alta,Individual,"14,8","45,5",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,05"
2019,9,Luxemburgo,1.713,Media-Alta,Individual,"17,7","54,9",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,15"
2019,9,Luxemburgo,16,Media-Alta,Individual,"17,8","53,9",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,03"
2019,9,Luxemburgo,48,Media-Alta,Individual,"17,6","45,7",Canarias,Tren,No disponible,No disponible,No disponible,"8,37"
2019,10,Luxemburgo,14.231,Media-Alta,Paquete,"10,0","59,4",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,77"
2019,10,Luxemburgo,1.713,Media-Alta,Individual,"13,0","64,6",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,37"
2019,10,Luxemburgo,16,Media-Alta,Individual,"9,5","58,8",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,39"
2019,10,Luxemburgo,48,Media-Alta,Paquete,"12,2","55,4",Canarias,Tren,No disponible,No disponible,No disponible,"8,86"
2019,11,Luxemburgo,14.231,Media-Alta,Paquete,"4,6","67,8",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,63"
2019,11,Luxemburgo,1.713,Media-Alta,Paquete,"6,6","74,0",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,79"
2019,11,Luxemburgo,16,Media-Alta,Individual,"4,2","66,3",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,33"
2019,11,Luxemburgo,48,Media-Alta,Individual,"8,0","74,5",Cataluña,Tren,No disponible,No disponible,No disponible,"8,35"
2019,12,Luxemburgo,14.231,Media-Alta,Paquete,"4,2","75,1",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,55"
2019,12,Luxemburgo,1.713,Media-Alta,Individual,"2,4","75,9",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,41"
2019,12,Luxemburgo,16,Media-Alta,Paquete,"4,0","79,6",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,61"
2019,12,Luxemburgo,48,Media-Alta,Individual,"1,6","76,5",Baleares,Tren,No disponible,No disponible,No disponible,"8,34"
2020,1,Luxemburgo,5.466,Media-Alta,Individual,"2,9","74,3",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,49"
2020,1,Luxemburgo,1.439,Media-Alta,Individual,"2,1","71,6",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,42"
2020,1,Luxemburgo,0,Media-Alta,Individual,"2,7","71,2",Baleares,Puerto,No disponible,No disponible,No disponible,"8,4"
2020,1,Luxemburgo,7,Media-Alta,Paquete,"1,7","79,1",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,67"
2020,2,Luxemburgo,5.466,Media-Alta,Individual,"1,1","69,0",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,26"
2020,2,Luxemburgo,1.439,Media-Alta,Individual,"2,9","69,6",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,05"
2020,2,Luxemburgo,0,Media-Alta,Individual,"4,4","67,5",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,01"
2020,2,Luxemburgo,7,Media-Alta,Individual,"1,9","74,2",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,3"
2020,3,Luxemburgo,5.466,Media-Alta,Individual,"6,4","69,1",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,57"
2020,3,Luxemburgo,1.439,Media-Alta,Individual,"6,9","66,2",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,55"
2020,3,Luxemburgo,0,Media-Alta,Individual,"6,7","68,6",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,47"
2020,3,Luxemburgo,7,Media-Alta,Individual,"5,4","64,2",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,38"
2020,4,Luxemburgo,5.466,Media-Alta,Individual,"11,9","61,4",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,47"
2020,4,Luxemburgo,1.439,Media-Alta,Individual,"7,4","62,9",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,16"
2020,4,Luxemburgo,0,Media-Alta,Individual,"9,1","61,6",Baleares,Puerto,No disponible,No disponible,No disponible,"8,02"
2020,4,Luxemburgo,7,Media-Alta,Individual,"7,5","61,6",Baleares,Tren,No disponible,No disponible,No disponible,"8,16"
2020,5,Luxemburgo,5.466,Media-Alta,Individual,"16,0","53,8",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,33"
2020,5,Luxemburgo,1.439,Media-Alta,Individual,"12,0","51,2",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,13"
2020,5,Luxemburgo,0,Media-Alta,Paquete,"12,5","57,5",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,72"
2020,5,Luxemburgo,7,Media-Alta,Individual,"15,4","59,2",Cataluña,Tren,No disponible,No disponible,No disponible,"8,41"
2020,6,Luxemburgo,5.466,Media-Alta,Individual,"17,5","49,1",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,4"
2020,6,Luxemburgo,1.439,Media-Alta,Individual,"16,6","47,0",Baleares,Carretera,No disponible,No disponible,No disponible,"8,71"
2020,6,Luxemburgo,0,Media-Alta,Individual,"17,6","51,6",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,44"
2020,6,Luxemburgo,7,Media-Alta,Paquete,"15,0","53,4",Cataluña,Tren,No disponible,No disponible,No disponible,"8,71"
2020,7,Luxemburgo,5.466,Media-Alta,Individual,"19,7","40,7",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,66"
2020,7,Luxemburgo,1.439,Media-Alta,Individual,"17,4","43,4",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,45"
2020,7,Luxemburgo,0,Media-Alta,Individual,"18,5","40,1",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,73"
2020,7,Luxemburgo,7,Media-Alta,Paquete,"16,4","47,7",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,73"
2020,8,Luxemburgo,5.466,Media-Alta,Paquete,"16,8","41,3",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,77"
2020,8,Luxemburgo,1.439,Media-Alta,Individual,"19,2","47,1",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,79"
2020,8,Luxemburgo,0,Media-Alta,Individual,"18,6","48,8",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,7"
2020,8,Luxemburgo,7,Media-Alta,Individual,"19,9","44,3",Andalucía,Tren,No disponible,No disponible,No disponible,"8,43"
