Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Rusia,53.094,Baja,Individual,"11,8","36,7",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,44"
2019,1,Rusia,386,Baja,Individual,"11,7","30,8",Baleares,Carretera,No disponible,No disponible,No disponible,"8,04"
2019,1,Rusia,1.601,Baja,Paquete,"13,6","32,5",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,4"
2019,1,Rusia,110,Baja,Paquete,"14,0","37,5",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,36"
2019,2,Rusia,60.679,Baja,Paquete,"13,9","30,5",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,61"
2019,2,Rusia,442,Baja,Individual,"12,6","36,4",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,18"
2019,2,Rusia,1.829,Baja,Paquete,"13,2","37,9",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,51"
2019,2,Rusia,126,Baja,Paquete,"12,1","36,5",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,59"
2019,3,Rusia,73.321,Baja,Individual,"13,7","38,9",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,06"
2019,3,Rusia,534,Baja,Paquete,"15,2","33,6",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,43"
2019,3,Rusia,2.210,Baja,Individual,"14,3","30,1",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,09"
2019,3,Rusia,152,Baja,Individual,"15,1","33,8",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,25"
2019,4,Rusia,78.377,Media,Individual,"17,3","48,7",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,24"
2019,4,Rusia,570,Media,Individual,"16,7","46,0",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,0"
2019,4,Rusia,2.363,Media,Individual,"16,0","47,9",Baleares,Puerto,No disponible,No disponible,No disponible,"8,18"
2019,4,Rusia,163,Media,Individual,"17,5","42,7",Cataluña,Tren,No disponible,No disponible,No disponible,"8,09"
2019,5,Rusia,116.301,Media-Alta,Paquete,"22,0","49,2",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,82"
2019,5,Rusia,846,Media-Alta,Individual,"20,1","41,7",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,44"
2019,5,Rusia,3.506,Media-Alta,Individual,"20,3","50,0",Baleares,Puerto,No disponible,No disponible,No disponible,"8,6"
2019,5,Rusia,242,Media-Alta,Paquete,"18,6","47,9",Cataluña,Tren,No disponible,No disponible,No disponible,"8,93"
2019,6,Rusia,161.810,Alta,Individual,"25,3","25,3",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,51"
2019,6,Rusia,1.177,Alta,Individual,"23,0","21,4",Baleares,Carretera,No disponible,No disponible,No disponible,"8,49"
2019,6,Rusia,4.878,Alta,Paquete,"22,9","27,1",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,94"
2019,6,Rusia,336,Alta,Paquete,"22,5","24,0",Baleares,Tren,No disponible,No disponible,No disponible,"8,94"
2019,7,Rusia,166.867,Alta,Individual,"26,8","11,8",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,9"
2019,7,Rusia,1.214,Alta,Individual,"28,0","10,1",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,76"
2019,7,Rusia,5.030,Alta,Individual,"27,4","16,7",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,84"
2019,7,Rusia,347,Alta,Paquete,"27,2","10,1",Baleares,Tren,No disponible,No disponible,No disponible,"9,19"
2019,8,Rusia,158.018,Alta,Paquete,"25,8","17,3",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"9,04"
2019,8,Rusia,1.150,Alta,Individual,"25,8","14,6",Baleares,Carretera,No disponible,No disponible,No disponible,"8,51"
2019,8,Rusia,4.764,Alta,Paquete,"26,7","20,0",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,99"
2019,8,Rusia,329,Alta,Individual,"28,9","10,4",Cataluña,Tren,No disponible,No disponible,No disponible,"8,87"
2019,9,Rusia,149.169,Media-Alta,Individual,"23,1","35,9",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,42"
2019,9,Rusia,1.085,Media-Alta,Paquete,"23,4","32,7",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,95"
2019,9,Rusia,4.497,Media-Alta,Individual,"24,1","36,0",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,49"
2019,9,Rusia,310,Media-Alta,Individual,"25,6","30,9",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,57"
2019,10,Rusia,107.453,Media,Paquete,"20,6","43,3",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,63"
2019,10,Rusia,782,Media,Paquete,"20,4","43,2",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,74"
2019,10,Rusia,3.239,Media,Individual,"18,6","48,6",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,17"
2019,10,Rusia,223,Media,Paquete,"18,3","43,2",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,52"
2019,11,Rusia,78.377,Media,Individual,"15,5","45,3",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,22"
2019,11,Rusia,570,Media,Individual,"16,9","41,7",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,5"
2019,11,Rusia,2.363,Media,Individual,"16,4","40,4",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,37"
2019,11,Rusia,163,Media,Individual,"17,5","43,4",Baleares,Tren,No disponible,No disponible,No disponible,"8,2"
2019,12,Rusia,60.679,Baja,Paquete,"13,2","39,9",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,34"
2019,12,Rusia,442,Baja,Individual,"12,8","34,5",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,46"
2019,12,Rusia,1.829,Baja,Individual,"14,0","37,2",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,35"
2019,12,Rusia,126,Baja,Individual,"13,6","32,7",Cataluña,Tren,No disponible,No disponible,No disponible,"8,48"
2020,1,Rusia,58.641,Alta,Individual,"11,5","34,2",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,05"
2020,1,Rusia,1.310,Alta,Paquete,"13,3","31,3",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,5"
2020,1,Rusia,1.622,Alta,Paquete,"11,4","30,6",Canarias,Puerto,No disponible,No disponible,No disponible,"8,58"
2020,1,Rusia,811,Alta,Individual,"12,2","37,0",Cataluña,Tren,No disponible,No disponible,No disponible,"8,32"
2020,2,Rusia,43.981,Alta,Individual,"14,8","38,5",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,49"
2020,2,Rusia,983,Alta,Individual,"14,5","32,1",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,2"
2020,2,Rusia,1.216,Alta,Individual,"11,4","33,1",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,4"
2020,2,Rusia,608,Alta,Individual,"11,9","38,7",Canarias,Tren,No disponible,No disponible,No disponible,"8,47"
2020,3,Rusia,21.990,Alta,Individual,"13,4","30,2",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,25"
2020,3,Rusia,491,Alta,Individual,"14,3","31,5",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,31"
2020,3,Rusia,608,Alta,Individual,"16,3","34,0",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,19"
2020,3,Rusia,304,Alta,Individual,"16,2","33,3",Cataluña,Tren,No disponible,No disponible,No disponible,"8,35"
