Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Suiza,84.607,Baja,Paquete,"11,4","37,4",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,74"
2019,1,Suiza,8.951,Baja,Individual,"11,9","37,9",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,25"
2019,1,Suiza,283,Baja,Individual,"10,9","35,1",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,32"
2019,1,Suiza,283,Baja,Individual,"12,6","31,0",Cataluña,Tren,No disponible,No disponible,No disponible,"8,36"
2019,2,Suiza,89.488,Baja,Individual,"13,2","32,9",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,54"
2019,2,Suiza,9.467,Baja,Individual,"11,7","33,1",Canarias,Carretera,No disponible,No disponible,No disponible,"8,57"
2019,2,Suiza,299,Baja,Paquete,"11,4","38,1",Baleares,Puerto,No disponible,No disponible,No disponible,"8,7"
2019,2,Suiza,299,Baja,Individual,"15,0","35,0",Canarias,Tren,No disponible,No disponible,No disponible,"8,62"
2019,3,Suiza,110.640,Baja,Individual,"13,3","38,9",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,53"
2019,3,Suiza,11.705,Baja,Individual,"14,8","37,7",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,41"
2019,3,Suiza,370,Baja,Paquete,"17,0","38,3",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,72"
2019,3,Suiza,370,Baja,Paquete,"13,3","39,6",Baleares,Tren,No disponible,No disponible,No disponible,"8,73"
2019,4,Suiza,133.419,Media,Individual,"18,4","44,1",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,26"
2019,4,Suiza,14.114,Media,Individual,"16,8","46,0",Baleares,Carretera,No disponible,No disponible,No disponible,"8,22"
2019,4,Suiza,446,Media,Individual,"16,9","42,2",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,28"
2019,4,Suiza,446,Media,Individual,"15,6","47,8",Andalucía,Tren,No disponible,No disponible,No disponible,"8,33"
2019,5,Suiza,154.570,Media-Alta,Individual,"19,0","44,9",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,63"
2019,5,Suiza,16.352,Media-Alta,Individual,"20,8","40,0",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,46"
2019,5,Suiza,516,Media-Alta,Individual,"19,5","40,6",Baleares,Puerto,No disponible,No disponible,No disponible,"8,32"
2019,5,Suiza,516,Media-Alta,Individual,"21,3","43,5",Canarias,Tren,No disponible,No disponible,No disponible,"8,48"
2019,6,Suiza,159.452,Media-Alta,Individual,"25,5","24,8",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,74"
2019,6,Suiza,16.868,Media-Alta,Individual,"23,7","29,8",Canarias,Carretera,No disponible,No disponible,No disponible,"8,63"
2019,6,Suiza,533,Media-Alta,Individual,"25,6","25,5",Baleares,Puerto,No disponible,No disponible,No disponible,"8,64"
2019,6,Suiza,533,Media-Alta,Individual,"24,3","24,9",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,9"
2019,7,Suiza,138.300,Media,Individual,"25,6","19,1",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"9,07"
2019,7,Suiza,14.631,Media,Individual,"28,7","19,3",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,99"
2019,7,Suiza,462,Media,Individual,"28,7","12,4",Cataluña,Puerto,No disponible,No disponible,No disponible,"9,07"
2019,7,Suiza,462,Media,Individual,"26,3","12,0",Cataluña,Tren,No disponible,No disponible,No disponible,"9,04"
2019,8,Suiza,203.382,Alta,Individual,"27,2","15,9",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,77"
2019,8,Suiza,21.516,Alta,Individual,"27,1","18,2",Canarias,Carretera,No disponible,No disponible,No disponible,"9,08"
2019,8,Suiza,679,Alta,Individual,"28,7","19,0",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,72"
2019,8,Suiza,679,Alta,Paquete,"28,6","13,6",Cataluña,Tren,No disponible,No disponible,No disponible,"9,05"
2019,9,Suiza,175.722,Media-Alta,Individual,"23,3","30,5",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,82"
2019,9,Suiza,18.590,Media-Alta,Individual,"24,5","31,8",Canarias,Carretera,No disponible,No disponible,No disponible,"8,88"
2019,9,Suiza,587,Media-Alta,Individual,"24,7","35,8",Baleares,Puerto,No disponible,No disponible,No disponible,"8,66"
2019,9,Suiza,587,Media-Alta,Individual,"24,3","32,0",Andalucía,Tren,No disponible,No disponible,No disponible,"8,74"
2019,10,Suiza,170.841,Media-Alta,Paquete,"21,6","49,8",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,6"
2019,10,Suiza,18.073,Media-Alta,Individual,"18,8","48,7",Baleares,Carretera,No disponible,No disponible,No disponible,"8,51"
2019,10,Suiza,571,Media-Alta,Individual,"20,0","41,5",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,65"
2019,10,Suiza,571,Media-Alta,Paquete,"20,6","40,1",Andalucía,Tren,No disponible,No disponible,No disponible,"8,66"
2019,11,Suiza,117.148,Media,Individual,"14,7","43,9",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,58"
2019,11,Suiza,12.393,Media,Individual,"15,8","49,1",Baleares,Carretera,No disponible,No disponible,No disponible,"8,34"
2019,11,Suiza,391,Media,Individual,"15,7","44,1",Baleares,Puerto,No disponible,No disponible,No disponible,"8,25"
2019,11,Suiza,391,Media,Individual,"14,5","45,0",Baleares,Tren,No disponible,No disponible,No disponible,"8,38"
2019,12,Suiza,89.488,Baja,Individual,"11,3","32,8",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,5"
2019,12,Suiza,9.467,Baja,Individual,"13,6","37,5",Baleares,Carretera,No disponible,No disponible,No disponible,"8,63"
