Año,Mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Viaje,Temperatura_Media,Precipitacion_Media,Destino_Principal,Medio_Acceso,Satisfaccion,Temperatura,Precipitacion,Fecha,Trimestre,Temporada,Tipo_Dato,Medio_Acceso_Predicho,Confianza_Prediccion
2019,1,Alemania,508806,Baja,Paquete,13.1,30.1,Baleares,Aeropuerto,8.33,13.1,30.1,2019-01-01,1,Baja,Histórico,Aeropuerto,1.0
2019,1,Alemania,24637,Baja,Paquete,12.0,39.6,Canarias,Carretera,8.3,12.0,39.6,2019-01-01,1,Baja,Histórico,Carretera,1.0
2019,1,Alemania,1607,Baja,Paquete,10.7,38.8,Baleares,Puerto,8.43,10.7,38.8,2019-01-01,1,Baja,Histórico,Puerto,1.0
2019,1,Alemania,536,Baja,Paquete,13.0,35.8,Canarias,Tren,8.79,13.0,35.8,2019-01-01,1,Baja,Histórico,Tren,1.0
2019,1,Argentina,43298,Media,Individual,7.1,55.8,Comunidad de Madrid,Aeropuerto,8.09,7.1,55.8,2019-01-01,1,Baja,Histórico,Aeropuerto,1.0
2019,1,Argentina,2205,Media,Individual,7.7,51.7,Cataluña,Carretera,8.13,7.7,51.7,2019-01-01,1,Baja,Histórico,Carretera,1.0
2019,1,Argentina,938,Media,Individual,7.0,56.9,Andalucía,Puerto,8.22,7.0,56.9,2019-01-01,1,Baja,Histórico,Puerto,1.0
2019,1,Argentina,469,Media,Individual,7.5,58.1,Cataluña,Tren,8.13,7.5,58.1,2019-01-01,1,Baja,Histórico,Tren,1.0
2019,1,Austria,74936,Media,Paquete,0.5,75.6,Canarias,Aeropuerto,8.33,0.5,75.6,2019-01-01,1,Baja,Histórico,Aeropuerto,1.0
2019,1,Austria,2254,Media,Individual,0.4,79.0,Baleares,Carretera,8.1,0.4,79.0,2019-01-01,1,Baja,Histórico,Carretera,1.0
2019,1,Austria,466,Media,Individual,1.0,72.8,Andalucía,Puerto,7.99,1.0,72.8,2019-01-01,1,Baja,Histórico,Puerto,1.0
2019,1,Austria,78,Media,Individual,1.3,76.3,Comunidad Valenciana,Tren,8.1,1.3,76.3,2019-01-01,1,Baja,Histórico,Tren,1.0
2019,1,Brasil,35674,Media,Individual,28.9,237.2,Cataluña,Aeropuerto,8.28,28.9,237.2,2019-01-01,1,Baja,Histórico,Aeropuerto,1.0
2019,1,Brasil,9795,Media,Individual,26.6,249.2,Comunidad de Madrid,Carretera,8.13,26.6,249.2,2019-01-01,1,Baja,Histórico,Carretera,1.0
2019,1,Brasil,1680,Media,Individual,28.3,213.3,Cataluña,Puerto,7.97,28.3,213.3,2019-01-01,1,Baja,Histórico,Puerto,1.0
2019,1,Brasil,864,Media,Individual,26.3,224.0,Comunidad de Madrid,Tren,8.2,26.3,224.0,2019-01-01,1,Baja,Histórico,Tren,1.0
2019,1,Bélgica,109749,Baja,Paquete,4.0,61.8,Comunidad Valenciana,Aeropuerto,8.25,4.0,61.8,2019-01-01,1,Baja,Histórico,Aeropuerto,1.0
2019,1,Bélgica,14776,Baja,Individual,4.0,61.0,Andalucía,Carretera,7.95,4.0,61.0,2019-01-01,1,Baja,Histórico,Carretera,1.0
2019,1,Bélgica,1642,Baja,Individual,4.9,60.2,Baleares,Puerto,8.03,4.9,60.2,2019-01-01,1,Baja,Histórico,Puerto,1.0
2019,1,Bélgica,126,Baja,Individual,4.3,63.8,Canarias,Tren,7.98,4.3,63.8,2019-01-01,1,Baja,Histórico,Tren,1.0
2019,1,Canadá,18712,Baja,Individual,-0.7,42.1,Cataluña,Aeropuerto,7.83,-0.7,42.1,2019-01-01,1,Baja,Histórico,Aeropuerto,1.0
2019,1,Canadá,1428,Baja,Individual,-4.7,47.4,Comunidad de Madrid,Carretera,8.28,-4.7,47.4,2019-01-01,1,Baja,Histórico,Carretera,1.0
2019,1,Canadá,1146,Baja,Individual,-0.6,46.0,Andalucía,Puerto,7.98,-0.6,46.0,2019-01-01,1,Baja,Histórico,Puerto,1.0
2019,1,Canadá,346,Baja,Individual,-4.7,42.8,Cataluña,Tren,7.89,-4.7,42.8,2019-01-01,1,Baja,Histórico,Tren,1.0
2019,1,China,31665,Baja,Individual,2.9,24.3,Cataluña,Aeropuerto,7.84,2.9,24.3,2019-01-01,1,Baja,Histórico,Aeropuerto,1.0
2019,1,China,3389,Baja,Individual,2.2,22.4,Andalucía,Carretera,8.23,2.2,22.4,2019-01-01,1,Baja,Histórico,Carretera,1.0
2019,1,China,1130,Baja,Paquete,4.3,34.1,Cataluña,Puerto,8.2,4.3,34.1,2019-01-01,1,Baja,Histórico,Puerto,1.0
2019,1,China,255,Baja,Paquete,5.1,20.4,Cataluña,Tren,8.0,5.1,20.4,2019-01-01,1,Baja,Histórico,Tren,1.0
2019,1,Corea del Sur,44717,Media,Paquete,-1.6,39.0,Cataluña,Aeropuerto,8.26,-1.6,39.0,2019-01-01,1,Baja,Histórico,Aeropuerto,1.0
