Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Viaje,Temperatura_Media,Precipitacion_Media,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Alemania,508806,Baja,Paquete,13.1,30.1,Baleares,Aeropuerto,No disponible,No disponible,No disponible,8.33
2019,1,Alemania,24637,Baja,Paquete,12.0,39.6,Canarias,Carretera,No disponible,No disponible,No disponible,8.3
2019,1,Alemania,1607,Baja,Paquete,10.7,38.8,Baleares,Puerto,No disponible,No disponible,No disponible,8.43
2019,1,Alemania,536,Baja,Paquete,13.0,35.8,Canarias,Tren,No disponible,No disponible,No disponible,8.79
2019,2,Alemania,530006,Baja,Individual,14.5,39.0,Baleares,Aeropuerto,No disponible,No disponible,No disponible,8.17
2019,2,Alemania,25663,Baja,Paquete,12.9,31.6,Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,8.55
2019,2,Alemania,1674,Baja,Paquete,11.9,35.3,Canarias,Puerto,No disponible,No disponible,No disponible,8.62
2019,2,Alemania,558,Baja,Individual,14.9,34.7,Canarias,Tren,No disponible,No disponible,No disponible,8.25
2019,3,Alemania,657207,Baja,Paquete,14.4,34.7,Andalucía,Aeropuerto,No disponible,No disponible,No disponible,8.57
2019,3,Alemania,31823,Baja,Paquete,15.8,36.5,Baleares,Carretera,No disponible,No disponible,No disponible,8.61
2019,3,Alemania,2075,Baja,Individual,13.9,39.1,Andalucía,Puerto,No disponible,No disponible,No disponible,8.48
2019,3,Alemania,692,Baja,Individual,16.6,34.5,Andalucía,Tren,No disponible,No disponible,No disponible,8.28
2019,4,Alemania,901010,Media,Individual,16.8,42.7,Baleares,Aeropuerto,No disponible,No disponible,No disponible,8.38
2019,4,Alemania,43628,Media,Paquete,18.3,41.5,Canarias,Carretera,No disponible,No disponible,No disponible,8.54
2019,4,Alemania,2845,Media,Individual,17.3,40.5,Baleares,Puerto,No disponible,No disponible,No disponible,8.15
2019,4,Alemania,948,Media,Paquete,17.6,46.5,Baleares,Tren,No disponible,No disponible,No disponible,8.67
2019,5,Alemania,1038812,Media-Alta,Paquete,20.8,43.4,Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,8.54
2019,5,Alemania,50300,Media-Alta,Individual,18.3,42.0,Cataluña,Carretera,No disponible,No disponible,No disponible,8.21
2019,5,Alemania,3280,Media-Alta,Paquete,19.5,46.0,Cataluña,Puerto,No disponible,No disponible,No disponible,8.75
2019,5,Alemania,1093,Media-Alta,Individual,18.1,42.1,Canarias,Tren,No disponible,No disponible,No disponible,8.3
2019,6,Alemania,1113012,Media-Alta,Paquete,25.9,28.8,Baleares,Aeropuerto,No disponible,No disponible,No disponible,8.9
2019,6,Alemania,53893,Media-Alta,Paquete,22.3,25.4,Cataluña,Carretera,No disponible,No disponible,No disponible,8.85
2019,6,Alemania,3515,Media-Alta,Individual,22.6,25.0,Canarias,Puerto,No disponible,No disponible,No disponible,8.51
2019,6,Alemania,1172,Media-Alta,Paquete,25.2,26.9,Baleares,Tren,No disponible,No disponible,No disponible,8.87
2019,7,Alemania,1166013,Alta,Paquete,27.5,19.8,Baleares,Aeropuerto,No disponible,No disponible,No disponible,8.86
2019,7,Alemania,56460,Alta,Paquete,28.8,20.0,Canarias,Carretera,No disponible,No disponible,No disponible,9.18
2019,7,Alemania,3682,Alta,Individual,28.7,19.9,Cataluña,Puerto,No disponible,No disponible,No disponible,8.53
2019,7,Alemania,1227,Alta,Individual,28.8,14.2,Cataluña,Tren,No disponible,No disponible,No disponible,8.63
2019,8,Alemania,1187213,Alta,Paquete,27.8,13.4,Baleares,Aeropuerto,No disponible,No disponible,No disponible,9.06
2019,8,Alemania,57486,Alta,Paquete,28.0,17.8,Baleares,Carretera,No disponible,No disponible,No disponible,9.11
2019,8,Alemania,3749,Alta,Paquete,26.4,12.9,Andalucía,Puerto,No disponible,No disponible,No disponible,9.01
2019,8,Alemania,1250,Alta,Individual,27.3,10.5,Baleares,Tren,No disponible,No disponible,No disponible,8.84
2019,9,Alemania,1144813,Media-Alta,Individual,23.3,37.9,Baleares,Aeropuerto,No disponible,No disponible,No disponible,8.56
2019,9,Alemania,55433,Media-Alta,Paquete,24.6,37.5,Baleares,Carretera,No disponible,No disponible,No disponible,8.83
2019,9,Alemania,3615,Media-Alta,Paquete,22.6,38.4,Baleares,Puerto,No disponible,No disponible,No disponible,8.74
2019,9,Alemania,1205,Media-Alta,Paquete,23.2,33.5,Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,8.8
2019,10,Alemania,996411,Media-Alta,Individual,21.6,49.7,Andalucía,Aeropuerto,No disponible,No disponible,No disponible,8.06
