Anio,Mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Viaje,Temperatura_Media,Precipitacion_Media,Destino_Principal,Medio_Acceso,Satisfaccion,Temperatura,Precipitacion,Fecha,Trimestre,Temporada
2019,1,Alemania,508806,Baja,Paquete,13.1,30.1,Baleares,Aeropuerto,8.33,13.1,30.1,1/1/2019,1,Baja
2019,1,Alemania,24637,Baja,Paquete,12,39.6,Canarias,Carretera,8.3,12,39.6,1/1/2019,1,Baja
2019,1,Alemania,1607,Baja,Paquete,10.7,38.8,Baleares,Puerto,8.43,10.7,38.8,1/1/2019,1,Baja
2019,1,Alemania,536,Baja,Paquete,13,35.8,Canarias,Tren,8.79,13,35.8,1/1/2019,1,Baja
2019,2,Alemania,530006,Baja,Individual,14.5,39,Baleares,Aeropuerto,8.17,14.5,39,2/1/2019,1,Baja
2019,2,Alemania,25663,Baja,Paquete,12.9,31.6,Comunidad Valenciana,Carretera,8.55,12.9,31.6,2/1/2019,1,Baja
2019,2,Alemania,1674,Baja,Paquete,11.9,35.3,Canarias,Puerto,8.62,11.9,35.3,2/1/2019,1,Baja
2019,2,Alemania,558,Baja,Individual,14.9,34.7,Canarias,Tren,8.25,14.9,34.7,2/1/2019,1,Baja
2019,3,Alemania,657207,Baja,Paquete,14.4,34.7,Andalucía,Aeropuerto,8.57,14.4,34.7,3/1/2019,1,Baja
2019,3,Alemania,31823,Baja,Paquete,15.8,36.5,Baleares,Carretera,8.61,15.8,36.5,3/1/2019,1,Baja
2019,3,Alemania,2075,Baja,Individual,13.9,39.1,Andalucía,Puerto,8.48,13.9,39.1,3/1/2019,1,Baja
2019,3,Alemania,692,Baja,Individual,16.6,34.5,Andalucía,Tren,8.28,16.6,34.5,3/1/2019,1,Baja
2019,4,Alemania,901010,Media,Individual,16.8,42.7,Baleares,Aeropuerto,8.38,16.8,42.7,4/1/2019,2,Media
2019,4,Alemania,43628,Media,Paquete,18.3,41.5,Canarias,Carretera,8.54,18.3,41.5,4/1/2019,2,Media
2019,4,Alemania,2845,Media,Individual,17.3,40.5,Baleares,Puerto,8.15,17.3,40.5,4/1/2019,2,Media
2019,4,Alemania,948,Media,Paquete,17.6,46.5,Baleares,Tren,8.67,17.6,46.5,4/1/2019,2,Media
2019,5,Alemania,1038812,Media-Alta,Paquete,20.8,43.4,Comunidad Valenciana,Aeropuerto,8.54,20.8,43.4,5/1/2019,2,Media
2019,5,Alemania,50300,Media-Alta,Individual,18.3,42,Cataluña,Carretera,8.21,18.3,42,5/1/2019,2,Media
2019,5,Alemania,3280,Media-Alta,Paquete,19.5,46,Cataluña,Puerto,8.75,19.5,46,5/1/2019,2,Media
2019,5,Alemania,1093,Media-Alta,Individual,18.1,42.1,Canarias,Tren,8.3,18.1,42.1,5/1/2019,2,Media
2019,6,Alemania,1113012,Media-Alta,Paquete,25.9,28.8,Baleares,Aeropuerto,8.9,25.9,28.8,6/1/2019,2,Media-Alta
2019,6,Alemania,53893,Media-Alta,Paquete,22.3,25.4,Cataluña,Carretera,8.85,22.3,25.4,6/1/2019,2,Media-Alta
2019,6,Alemania,3515,Media-Alta,Individual,22.6,25,Canarias,Puerto,8.51,22.6,25,6/1/2019,2,Media-Alta
2019,6,Alemania,1172,Media-Alta,Paquete,25.2,26.9,Baleares,Tren,8.87,25.2,26.9,6/1/2019,2,Media-Alta
2019,7,Alemania,1166013,Alta,Paquete,27.5,19.8,Baleares,Aeropuerto,8.86,27.5,19.8,7/1/2019,3,Alta
2019,7,Alemania,56460,Alta,Paquete,28.8,20,Canarias,Carretera,9.18,28.8,20,7/1/2019,3,Alta
2019,7,Alemania,3682,Alta,Individual,28.7,19.9,Cataluña,Puerto,8.53,28.7,19.9,7/1/2019,3,Alta
