Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Alemania,508.806,Baja,Paquete,"11,3","33,2",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,35"
2019,1,Alemania,24.637,Baja,Individual,"12,0","32,4",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,41"
2019,1,Alemania,1.607,Baja,Individual,"14,0","36,0",Baleares,Puerto,No disponible,No disponible,No disponible,"8,05"
2019,1,Alemania,536,Baja,Individual,"11,3","38,0",Canarias,Tren,No disponible,No disponible,No disponible,"8,42"
2019,2,Alemania,530.006,Baja,Individual,"11,2","33,5",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,25"
2019,2,Alemania,25.663,Baja,Paquete,"11,1","32,1",Baleares,Carretera,No disponible,No disponible,No disponible,"8,73"
2019,2,Alemania,1.674,Baja,Individual,"14,1","38,0",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,45"
2019,2,Alemania,558,Baja,Paquete,"12,4","30,6",Canarias,Tren,No disponible,No disponible,No disponible,"8,61"
2019,3,Alemania,657.207,Baja,Individual,"13,6","30,7",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,28"
2019,3,Alemania,31.823,Baja,Individual,"15,9","39,7",Baleares,Carretera,No disponible,No disponible,No disponible,"8,15"
2019,3,Alemania,2.075,Baja,Individual,"17,0","30,4",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,08"
2019,3,Alemania,692,Baja,Individual,"16,8","34,2",Canarias,Tren,No disponible,No disponible,No disponible,"8,03"
2019,4,Alemania,901.010,Media,Individual,"18,8","40,8",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,36"
2019,4,Alemania,43.628,Media,Individual,"15,4","44,4",Baleares,Carretera,No disponible,No disponible,No disponible,"8,46"
2019,4,Alemania,2.845,Media,Individual,"17,8","49,9",Baleares,Puerto,No disponible,No disponible,No disponible,"8,45"
2019,4,Alemania,948,Media,Paquete,"18,6","45,0",Andalucía,Tren,No disponible,No disponible,No disponible,"8,54"
2019,5,Alemania,1.038.812,Media-Alta,Individual,"18,4","48,6",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,39"
2019,5,Alemania,50.300,Media-Alta,Individual,"18,1","44,0",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,48"
2019,5,Alemania,3.280,Media-Alta,Paquete,"21,3","40,3",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,79"
2019,5,Alemania,1.093,Media-Alta,Individual,"18,5","48,9",Baleares,Tren,No disponible,No disponible,No disponible,"8,46"
2019,6,Alemania,1.113.012,Media-Alta,Paquete,"25,5","23,0",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,96"
2019,6,Alemania,53.893,Media-Alta,Individual,"23,4","24,1",Baleares,Carretera,No disponible,No disponible,No disponible,"8,4"
2019,6,Alemania,3.515,Media-Alta,Individual,"25,5","22,1",Canarias,Puerto,No disponible,No disponible,No disponible,"8,47"
2019,6,Alemania,1.172,Media-Alta,Paquete,"25,7","20,4",Canarias,Tren,No disponible,No disponible,No disponible,"8,82"
2019,7,Alemania,1.166.013,Alta,Individual,"26,7","11,2",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,81"
2019,7,Alemania,56.460,Alta,Paquete,"26,0","14,2",Baleares,Carretera,No disponible,No disponible,No disponible,"8,85"
2019,7,Alemania,3.682,Alta,Paquete,"26,1","15,0",Baleares,Puerto,No disponible,No disponible,No disponible,"9,11"
2019,7,Alemania,1.227,Alta,Individual,"26,4","10,8",Cataluña,Tren,No disponible,No disponible,No disponible,"8,75"
2019,8,Alemania,1.187.213,Alta,Individual,"28,5","13,4",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,78"
2019,8,Alemania,57.486,Alta,Individual,"27,1","17,9",Baleares,Carretera,No disponible,No disponible,No disponible,"8,63"
2019,8,Alemania,3.749,Alta,Paquete,"28,3","11,6",Canarias,Puerto,No disponible,No disponible,No disponible,"9,04"
2019,8,Alemania,1.250,Alta,Individual,"26,7","11,8",Canarias,Tren,No disponible,No disponible,No disponible,"8,6"
2019,9,Alemania,1.144.813,Media-Alta,Paquete,"22,0","34,9",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,74"
2019,9,Alemania,55.433,Media-Alta,Paquete,"22,1","38,0",Baleares,Carretera,No disponible,No disponible,No disponible,"8,76"
2019,9,Alemania,3.615,Media-Alta,Individual,"22,5","35,0",Baleares,Puerto,No disponible,No disponible,No disponible,"8,65"
2019,9,Alemania,1.205,Media-Alta,Individual,"23,9","36,1",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,64"
2019,10,Alemania,996.411,Media-Alta,Individual,"20,7","41,5",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,09"
2019,10,Alemania,48.247,Media-Alta,Individual,"21,3","43,7",Canarias,Carretera,No disponible,No disponible,No disponible,"8,09"
2019,10,Alemania,3.147,Media-Alta,Paquete,"20,1","42,3",Baleares,Puerto,No disponible,No disponible,No disponible,"8,37"
2019,10,Alemania,1.049,Media-Alta,Paquete,"20,5","49,8",Baleares,Tren,No disponible,No disponible,No disponible,"8,33"
2019,11,Alemania,720.808,Baja,Individual,"16,1","43,7",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,26"
2019,11,Alemania,34.902,Baja,Individual,"14,9","48,6",Baleares,Carretera,No disponible,No disponible,No disponible,"8,26"
2019,11,Alemania,2.276,Baja,Paquete,"14,7","48,9",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,71"
2019,11,Alemania,759,Baja,Paquete,"15,0","44,7",Cataluña,Tren,No disponible,No disponible,No disponible,"8,41"
2019,12,Alemania,636.007,Baja,Individual,"12,2","34,3",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,05"
2019,12,Alemania,30.796,Baja,Paquete,"11,9","38,5",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,53"
2019,12,Alemania,2.008,Baja,Individual,"11,5","38,0",Baleares,Puerto,No disponible,No disponible,No disponible,"8,31"
2019,12,Alemania,669,Baja,Individual,"14,5","38,1",Baleares,Tren,No disponible,No disponible,No disponible,"8,48"
