Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Argentina,43.298,Media,Individual,"7,2","58,0",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,28"
2019,1,Argentina,2.205,Media,Individual,"6,6","56,8",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,11"
2019,1,Argentina,938,Media,Individual,"7,5","54,2",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"7,82"
2019,1,Argentina,469,Media,Individual,"7,7","53,0",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"7,98"
2019,2,Argentina,38.635,Baja,Individual,"9,1","47,5",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,25"
2019,2,Argentina,1.967,Baja,Individual,"9,2","48,5",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"7,92"
2019,2,Argentina,837,Baja,Individual,"8,6","53,9",Cataluña,Puerto,No disponible,No disponible,No disponible,"7,86"
2019,2,Argentina,419,Baja,Individual,"9,9","52,8",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,27"
2019,3,Argentina,41.300,Media,Individual,"12,6","43,1",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,2"
2019,3,Argentina,2.103,Media,Paquete,"13,0","43,5",Baleares,Carretera,No disponible,No disponible,No disponible,"8,35"
2019,3,Argentina,895,Media,Individual,"11,6","41,8",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,09"
2019,3,Argentina,447,Media,Individual,"11,4","42,9",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"7,85"
2019,4,Argentina,49.959,Media,Individual,"14,6","44,0",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,21"
2019,4,Argentina,2.544,Media,Individual,"13,4","44,9",Baleares,Carretera,No disponible,No disponible,No disponible,"8,37"
2019,4,Argentina,1.083,Media,Individual,"14,2","47,8",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,3"
2019,4,Argentina,541,Media,Individual,"13,7","48,5",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,14"
2019,5,Argentina,54.622,Media-Alta,Individual,"17,6","54,2",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,17"
2019,5,Argentina,2.781,Media-Alta,Individual,"16,4","53,0",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,13"
2019,5,Argentina,1.184,Media-Alta,Individual,"18,8","54,1",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,14"
2019,5,Argentina,592,Media-Alta,Individual,"16,0","49,0",Andalucía,Tren,No disponible,No disponible,No disponible,"8,18"
2019,6,Argentina,83.266,Alta,Individual,"24,7","29,4",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,55"
2019,6,Argentina,4.240,Alta,Individual,"21,9","20,7",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,77"
2019,6,Argentina,1.804,Alta,Individual,"21,6","24,0",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,71"
2019,6,Argentina,902,Alta,Individual,"24,9","26,1",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,66"
2019,7,Argentina,56.621,Media-Alta,Individual,"25,0","19,6",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,56"
2019,7,Argentina,2.883,Media-Alta,Individual,"27,9","17,9",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,45"
2019,7,Argentina,1.227,Media-Alta,Individual,"25,4","16,9",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,51"
2019,7,Argentina,613,Media-Alta,Paquete,"27,3","18,3",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,88"
2019,8,Argentina,78.603,Alta,Individual,"26,5","16,9",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,51"
2019,8,Argentina,4.003,Alta,Individual,"27,3","14,6",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,66"
2019,8,Argentina,1.703,Alta,Individual,"26,5","16,9",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,31"
2019,8,Argentina,852,Alta,Individual,"27,1","15,6",Andalucía,Tren,No disponible,No disponible,No disponible,"8,65"
2019,9,Argentina,81.267,Alta,Individual,"21,7","33,4",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,66"
2019,9,Argentina,4.138,Alta,Individual,"21,2","27,1",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,31"
