Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Austria,74.936,Media,Individual,"0,2","72,4",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,15"
2019,1,Austria,2.254,Media,Paquete,"0,7","70,1",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,04"
2019,1,Austria,466,Media,Individual,"0,2","78,2",Andalucía,Puerto,No disponible,No disponible,No disponible,"7,96"
2019,1,Austria,78,Media,Paquete,"0,8","72,7",Cataluña,Tren,No disponible,No disponible,No disponible,"8,06"
2019,2,Austria,66.865,Baja,Individual,"2,2","65,7",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"7,97"
2019,2,Austria,2.011,Baja,Individual,"2,2","70,5",Baleares,Carretera,No disponible,No disponible,No disponible,"7,83"
2019,2,Austria,416,Baja,Paquete,"1,7","69,9",Canarias,Puerto,No disponible,No disponible,No disponible,"8,42"
2019,2,Austria,69,Baja,Individual,"1,6","67,7",Cataluña,Tren,No disponible,No disponible,No disponible,"8,29"
2019,3,Austria,71.477,Media,Individual,"5,3","66,8",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,23"
2019,3,Austria,2.150,Media,Individual,"5,6","68,5",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,09"
2019,3,Austria,445,Media,Paquete,"6,8","61,9",Baleares,Puerto,No disponible,No disponible,No disponible,"8,11"
2019,3,Austria,74,Media,Individual,"6,9","60,8",Canarias,Tren,No disponible,No disponible,No disponible,"8,22"
2019,4,Austria,86.464,Media,Individual,"12,0","57,7",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,15"
2019,4,Austria,2.601,Media,Individual,"8,6","63,9",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,11"
2019,4,Austria,538,Media,Individual,"8,3","61,1",Canarias,Puerto,No disponible,No disponible,No disponible,"8,39"
2019,4,Austria,90,Media,Individual,"10,2","61,3",Cataluña,Tren,No disponible,No disponible,No disponible,"8,14"
