Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Canadá,18.712,Baja,Individual,"-4,0","45,6",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,24"
2019,1,Canadá,1.428,Baja,Individual,"-1,8","56,5",Cataluña,Carretera,No disponible,No disponible,No disponible,"7,86"
2019,1,Canadá,1.146,Baja,Individual,"-2,8","47,0",Cataluña,Puerto,No disponible,No disponible,No disponible,"7,83"
2019,1,Canadá,346,Baja,Individual,"-0,8","55,9",Andalucía,Tren,No disponible,No disponible,No disponible,"7,82"
2019,2,Canadá,28.068,Media,Paquete,"0,0","38,6",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,36"
2019,2,Canadá,2.142,Media,Individual,"-2,5","38,1",Andalucía,Carretera,No disponible,No disponible,No disponible,"7,84"
2019,2,Canadá,1.720,Media,Individual,"-1,4","38,0",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"7,84"
2019,2,Canadá,519,Media,Paquete,"-0,6","43,6",Cataluña,Tren,No disponible,No disponible,No disponible,"8,46"
2019,3,Canadá,38.203,Media-Alta,Individual,"6,7","44,8",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,28"
2019,3,Canadá,2.915,Media-Alta,Individual,"3,0","42,2",Andalucía,Carretera,No disponible,No disponible,No disponible,"7,84"
2019,3,Canadá,2.341,Media-Alta,Individual,"5,4","50,9",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,26"
2019,3,Canadá,707,Media-Alta,Individual,"4,9","46,8",Cataluña,Tren,No disponible,No disponible,No disponible,"8,24"
2019,4,Canadá,39.762,Media-Alta,Individual,"9,4","56,8",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,19"
2019,4,Canadá,3.034,Media-Alta,Individual,"11,7","53,7",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,4"
2019,4,Canadá,2.436,Media-Alta,Individual,"9,4","60,6",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,34"
2019,4,Canadá,735,Media-Alta,Individual,"8,4","54,2",Cataluña,Tren,No disponible,No disponible,No disponible,"8,29"
2019,5,Canadá,40.932,Media-Alta,Individual,"13,0","77,0",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,2"
2019,5,Canadá,3.123,Media-Alta,Individual,"14,1","71,9",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,11"
2019,5,Canadá,2.508,Media-Alta,Individual,"13,9","68,9",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,23"
2019,5,Canadá,757,Media-Alta,Individual,"14,3","65,2",Cataluña,Tren,No disponible,No disponible,No disponible,"8,16"
