Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Corea del Sur,44.717,Media,Paquete,"0,3","34,7",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,21"
2019,1,Corea del Sur,7.989,Media,Individual,"-2,5","34,9",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"7,86"
2019,1,Corea del Sur,590,Media,Individual,"-1,1","32,4",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,12"
2019,1,Corea del Sur,375,Media,Paquete,"0,2","25,3",Andalucía,Tren,No disponible,No disponible,No disponible,"8,47"
2019,2,Corea del Sur,41.034,Media,Paquete,"0,5","35,1",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,02"
2019,2,Corea del Sur,7.331,Media,Individual,"1,4","44,0",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,03"
2019,2,Corea del Sur,541,Media,Paquete,"2,8","25,2",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,33"
2019,2,Corea del Sur,344,Media,Paquete,"1,4","33,4",Cataluña,Tren,No disponible,No disponible,No disponible,"8,45"
2019,3,Corea del Sur,43.139,Media,Individual,"8,5","39,2",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,09"
2019,3,Corea del Sur,7.707,Media,Individual,"8,3","49,8",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"7,88"
2019,3,Corea del Sur,569,Media,Paquete,"8,4","31,5",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,45"
2019,3,Corea del Sur,362,Media,Individual,"5,5","42,8",Cataluña,Tren,No disponible,No disponible,No disponible,"7,93"
2019,4,Corea del Sur,46.295,Media,Paquete,"13,7","50,2",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,38"
2019,4,Corea del Sur,8.271,Media,Individual,"15,0","61,5",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,3"
2019,4,Corea del Sur,611,Media,Paquete,"12,1","65,3",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,52"
2019,4,Corea del Sur,389,Media,Individual,"15,6","67,3",Cataluña,Tren,No disponible,No disponible,No disponible,"8,29"
2019,5,Corea del Sur,49.978,Media-Alta,Paquete,"18,3","91,2",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,52"
2019,5,Corea del Sur,8.929,Media-Alta,Individual,"20,4","80,3",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,2"
2019,5,Corea del Sur,659,Media-Alta,Paquete,"17,3","93,5",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,35"
2019,5,Corea del Sur,419,Media-Alta,Paquete,"18,6","99,3",Andalucía,Tren,No disponible,No disponible,No disponible,"8,38"
2019,6,Corea del Sur,53.660,Media-Alta,Paquete,"23,3","130,7",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,82"
2019,6,Corea del Sur,9.587,Media-Alta,Individual,"21,5","132,5",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,52"
2019,6,Corea del Sur,708,Media-Alta,Individual,"22,2","125,5",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,64"
2019,6,Corea del Sur,450,Media-Alta,Paquete,"23,8","134,9",Cataluña,Tren,No disponible,No disponible,No disponible,"8,63"
2019,7,Corea del Sur,35.774,Media,Individual,"27,9","160,5",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,65"
2019,7,Corea del Sur,6.391,Media,Individual,"26,7","167,9",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,7"
2019,7,Corea del Sur,472,Media,Individual,"25,1","157,4",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,44"
2019,7,Corea del Sur,300,Media,Paquete,"24,9","164,6",Cataluña,Tren,No disponible,No disponible,No disponible,"8,68"
2019,8,Corea del Sur,37.878,Media,Individual,"25,1","150,0",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,53"
2019,8,Corea del Sur,6.767,Media,Individual,"25,0","148,4",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,76"
2019,8,Corea del Sur,500,Media,Individual,"24,6","144,3",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,5"
2019,8,Corea del Sur,318,Media,Individual,"27,7","140,3",Andalucía,Tren,No disponible,No disponible,No disponible,"8,7"
2019,9,Corea del Sur,39.457,Media,Paquete,"20,5","92,1",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,9"
2019,9,Corea del Sur,7.049,Media,Individual,"19,0","99,6",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,74"
2019,9,Corea del Sur,520,Media,Individual,"21,2","96,1",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,43"
2019,9,Corea del Sur,331,Media,Individual,"19,9","98,8",Cataluña,Tren,No disponible,No disponible,No disponible,"8,55"
2019,10,Corea del Sur,37.878,Media,Paquete,"15,1","66,0",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,55"
2019,10,Corea del Sur,6.767,Media,Paquete,"13,2","55,5",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,3"
2019,10,Corea del Sur,500,Media,Individual,"15,5","58,4",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,39"
2019,10,Corea del Sur,318,Media,Individual,"14,7","66,4",Cataluña,Tren,No disponible,No disponible,No disponible,"8,12"
2019,11,Corea del Sur,44.717,Media,Individual,"7,0","38,7",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"7,88"
2019,11,Corea del Sur,7.989,Media,Paquete,"7,0","33,8",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,05"
2019,11,Corea del Sur,590,Media,Paquete,"7,8","35,8",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,05"
2019,11,Corea del Sur,375,Media,Individual,"9,1","33,4",Cataluña,Tren,No disponible,No disponible,No disponible,"7,85"
