Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Francia,309.216,Media-Alta,Individual,"6,8","66,2",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,28"
2019,1,Francia,589.647,Media-Alta,Individual,"5,9","69,9",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,11"
2019,1,Francia,16.714,Media-Alta,Paquete,"5,3","68,1",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,47"
2019,1,Francia,13.000,Media-Alta,Individual,"5,4","61,6",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,14"
2019,2,Francia,309.216,Media-Alta,Individual,"8,9","58,7",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,23"
2019,2,Francia,589.647,Media-Alta,Individual,"8,1","57,0",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,07"
2019,2,Francia,16.714,Media-Alta,Individual,"7,0","62,4",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,4"
2019,2,Francia,13.000,Media-Alta,Individual,"8,6","59,6",Andalucía,Tren,No disponible,No disponible,No disponible,"8,32"
2019,3,Francia,309.216,Media-Alta,Paquete,"10,6","53,2",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,7"
2019,3,Francia,589.647,Media-Alta,Individual,"11,5","58,9",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,47"
2019,3,Francia,16.714,Media-Alta,Individual,"8,4","55,9",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,42"
2019,3,Francia,13.000,Media-Alta,Individual,"11,9","53,4",Cataluña,Tren,No disponible,No disponible,No disponible,"8,58"
2019,4,Francia,309.216,Media-Alta,Individual,"12,9","53,7",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,4"
2019,4,Francia,589.647,Media-Alta,Individual,"10,8","52,4",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,0"
2019,4,Francia,16.714,Media-Alta,Individual,"12,9","48,8",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,18"
2019,4,Francia,13.000,Media-Alta,Individual,"11,7","47,7",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,25"
2019,5,Francia,309.216,Media-Alta,Individual,"16,8","40,1",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,45"
2019,5,Francia,589.647,Media-Alta,Individual,"14,8","47,5",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,13"
2019,5,Francia,16.714,Media-Alta,Individual,"15,4","42,6",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,19"
2019,5,Francia,13.000,Media-Alta,Individual,"17,7","44,3",Cataluña,Tren,No disponible,No disponible,No disponible,"8,2"
2019,6,Francia,309.216,Media-Alta,Individual,"19,5","38,2",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,79"
2019,6,Francia,589.647,Media-Alta,Individual,"19,6","41,5",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,55"
2019,6,Francia,16.714,Media-Alta,Individual,"17,8","37,7",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,56"
2019,6,Francia,13.000,Media-Alta,Individual,"17,2","36,6",Cataluña,Tren,No disponible,No disponible,No disponible,"8,7"
2019,7,Francia,309.216,Media-Alta,Individual,"24,6","34,8",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,51"
2019,7,Francia,589.647,Media-Alta,Individual,"22,5","30,5",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,42"
2019,7,Francia,16.714,Media-Alta,Individual,"21,6","38,9",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,62"
2019,7,Francia,13.000,Media-Alta,Individual,"23,2","30,2",Baleares,Tren,No disponible,No disponible,No disponible,"8,62"
2019,8,Francia,309.216,Media-Alta,Individual,"22,4","36,6",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,42"
2019,8,Francia,589.647,Media-Alta,Individual,"24,3","36,5",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,71"
2019,8,Francia,16.714,Media-Alta,Individual,"20,4","32,1",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,47"
2019,8,Francia,13.000,Media-Alta,Individual,"23,3","30,2",Cataluña,Tren,No disponible,No disponible,No disponible,"8,57"
2019,9,Francia,309.216,Media-Alta,Individual,"18,3","35,3",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,21"
2019,9,Francia,589.647,Media-Alta,Individual,"20,1","38,3",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,48"
2019,9,Francia,16.714,Media-Alta,Individual,"19,8","42,6",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,02"
2019,9,Francia,13.000,Media-Alta,Individual,"20,4","40,7",Cataluña,Tren,No disponible,No disponible,No disponible,"8,41"
2019,10,Francia,309.216,Media-Alta,Individual,"15,1","47,3",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,56"
2019,10,Francia,589.647,Media-Alta,Individual,"15,3","45,7",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,58"
2019,10,Francia,16.714,Media-Alta,Individual,"13,9","46,0",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,42"
2019,10,Francia,13.000,Media-Alta,Individual,"13,9","53,0",Cataluña,Tren,No disponible,No disponible,No disponible,"8,49"
2019,11,Francia,309.216,Media-Alta,Individual,"11,8","59,7",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,58"
2019,11,Francia,589.647,Media-Alta,Individual,"9,7","61,9",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,34"
2019,11,Francia,16.714,Media-Alta,Individual,"9,7","58,2",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,33"
2019,11,Francia,13.000,Media-Alta,Individual,"8,7","58,1",Cataluña,Tren,No disponible,No disponible,No disponible,"8,56"
2019,12,Francia,309.216,Media-Alta,Paquete,"7,4","65,4",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,74"
2019,12,Francia,589.647,Media-Alta,Individual,"8,3","67,2",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,19"
2019,12,Francia,16.714,Media-Alta,Individual,"8,5","60,6",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,06"
2019,12,Francia,13.000,Media-Alta,Individual,"7,0","68,7",Baleares,Tren,No disponible,No disponible,No disponible,"8,28"
2020,1,Francia,82.582,Media-Alta,Individual,"5,9","64,4",Comunidad Valenciana,Aeropuerto,17759,2795482,1898823,"8,43"
