Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Japón,47.699,Media-Alta,Paquete,"7,0","58,4",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,67"
2019,1,Japón,7.395,Media-Alta,Paquete,"8,2","57,4",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,72"
2019,1,Japón,1.129,Media-Alta,Individual,"6,9","50,4",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,32"
2019,1,Japón,282,Media-Alta,Individual,"6,8","53,0",Cataluña,Tren,No disponible,No disponible,No disponible,"8,03"
2019,2,Japón,47.699,Media-Alta,Individual,"6,5","46,8",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,07"
2019,2,Japón,7.395,Media-Alta,Paquete,"9,5","48,6",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,6"
2019,2,Japón,1.129,Media-Alta,Individual,"9,6","51,8",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,29"
2019,2,Japón,282,Media-Alta,Paquete,"7,6","45,3",Cataluña,Tren,No disponible,No disponible,No disponible,"8,72"
2019,3,Japón,47.699,Media-Alta,Individual,"9,7","44,4",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,39"
2019,3,Japón,7.395,Media-Alta,Individual,"8,3","41,0",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,33"
2019,3,Japón,1.129,Media-Alta,Individual,"8,8","48,8",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,5"
2019,3,Japón,282,Media-Alta,Paquete,"10,6","44,7",Cataluña,Tren,No disponible,No disponible,No disponible,"8,66"
2019,4,Japón,47.699,Media-Alta,Paquete,"16,8","40,1",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,45"
2019,4,Japón,7.395,Media-Alta,Individual,"13,0","37,0",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,09"
2019,4,Japón,1.129,Media-Alta,Paquete,"13,6","39,4",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,41"
2019,4,Japón,282,Media-Alta,Paquete,"14,5","43,0",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,58"
2019,5,Japón,47.699,Media-Alta,Individual,"18,3","38,8",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,2"
2019,5,Japón,7.395,Media-Alta,Individual,"20,3","36,4",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,03"
