Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,México,46.608,Media-Alta,Paquete,"19,4","8,7",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,73"
2019,1,México,697,Media-Alta,Individual,"19,6","9,3",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,37"
2019,1,México,2.091,Media-Alta,Individual,"20,5","14,0",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,2"
2019,1,México,398,Media-Alta,Individual,"18,7","9,4",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,36"
2019,2,México,46.608,Media-Alta,Individual,"19,6","12,6",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,04"
2019,2,México,697,Media-Alta,Individual,"21,2","9,0",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,02"
2019,2,México,2.091,Media-Alta,Individual,"19,1","13,0",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,22"
2019,2,México,398,Media-Alta,Individual,"20,5","8,6",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,33"
2019,3,México,46.608,Media-Alta,Individual,"21,9","11,5",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,47"
2019,3,México,697,Media-Alta,Individual,"24,1","12,8",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,34"
2019,3,México,2.091,Media-Alta,Individual,"24,0","16,3",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,3"
2019,3,México,398,Media-Alta,Individual,"23,5","17,7",Cataluña,Tren,No disponible,No disponible,No disponible,"8,4"
2019,4,México,46.608,Media-Alta,Individual,"25,8","24,0",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,2"
2019,4,México,697,Media-Alta,Individual,"26,2","23,9",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,25"
2019,4,México,2.091,Media-Alta,Individual,"24,0","15,5",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,5"
2019,4,México,398,Media-Alta,Individual,"26,9","23,5",Cataluña,Tren,No disponible,No disponible,No disponible,"8,11"
2019,5,México,46.608,Media-Alta,Individual,"24,1","30,4",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,19"
2019,5,México,697,Media-Alta,Paquete,"25,2","36,2",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,68"
2019,5,México,2.091,Media-Alta,Individual,"24,2","36,1",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,06"
2019,5,México,398,Media-Alta,Individual,"25,6","35,5",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,15"
2019,6,México,46.608,Media-Alta,Individual,"25,2","76,9",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,79"
2019,6,México,697,Media-Alta,Individual,"26,2","71,0",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,57"
2019,6,México,2.091,Media-Alta,Individual,"23,6","75,5",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,46"
2019,6,México,398,Media-Alta,Individual,"25,7","71,5",Cataluña,Tren,No disponible,No disponible,No disponible,"8,79"
2019,7,México,46.608,Media-Alta,Paquete,"22,5","99,9",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"9,1"
2019,7,México,697,Media-Alta,Individual,"22,5","99,2",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,48"
2019,7,México,2.091,Media-Alta,Individual,"23,5","99,8",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,8"
2019,7,México,398,Media-Alta,Individual,"23,8","90,8",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,67"
2019,8,México,46.608,Media-Alta,Paquete,"23,6","97,0",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,8"
2019,8,México,697,Media-Alta,Individual,"25,5","91,9",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,56"
2019,8,México,2.091,Media-Alta,Paquete,"24,0","95,5",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,97"
2019,8,México,398,Media-Alta,Individual,"23,0","99,1",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,76"
2019,9,México,46.608,Media-Alta,Individual,"24,3","87,0",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,23"
2019,9,México,697,Media-Alta,Individual,"21,8","84,5",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,33"
2019,9,México,2.091,Media-Alta,Individual,"24,5","83,9",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,41"
2019,9,México,398,Media-Alta,Individual,"24,4","80,3",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,4"
2019,10,México,46.608,Media-Alta,Individual,"22,2","44,5",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,55"
2019,10,México,697,Media-Alta,Paquete,"20,3","46,3",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,75"
2019,10,México,2.091,Media-Alta,Individual,"21,5","40,9",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,41"
2019,10,México,398,Media-Alta,Individual,"23,9","40,4",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,49"
2019,11,México,46.608,Media-Alta,Individual,"20,9","19,2",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,36"
2019,11,México,697,Media-Alta,Individual,"20,1","18,1",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,44"
2019,11,México,2.091,Media-Alta,Individual,"19,1","24,2",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,43"
2019,11,México,398,Media-Alta,Individual,"19,7","17,4",Andalucía,Tren,No disponible,No disponible,No disponible,"8,52"
2019,12,México,46.608,Media-Alta,Individual,"20,2","6,2",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,03"
2019,12,México,697,Media-Alta,Individual,"18,2","14,0",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,24"
2019,12,México,2.091,Media-Alta,Individual,"20,4","11,4",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,05"
2019,12,México,398,Media-Alta,Individual,"19,9","11,4",Comunidad de Madrid,Tren,No disponible,No disponible,No disponible,"8,35"
2020,1,México,10.303,Media-Alta,Individual,"20,3","13,1",Comunidad de Madrid,Aeropuerto,916,278931,169658,"8,04"
2020,1,México,205,Media-Alta,Individual,"18,6","11,9",Comunidad de Madrid,Carretera,916,278931,169658,"8,32"
2020,1,México,86,Media-Alta,Individual,"18,5","12,3",Comunidad de Madrid,Puerto,916,278931,169658,"8,39"
2020,1,México,227,Media-Alta,Individual,"21,9","9,6",Cataluña,Tren,916,278931,169658,"8,35"
