Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Noruega,120.270,Media-Alta,Paquete,"-0,0","75,2",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,69"
2019,1,Noruega,2.220,Media-Alta,Individual,"-0,7","76,5",Canarias,Carretera,No disponible,No disponible,No disponible,"8,05"
2019,1,Noruega,740,Media-Alta,Individual,"-3,8","79,3",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,13"
2019,1,Noruega,123,Media-Alta,Individual,"-1,0","73,6",Andalucía,Tren,No disponible,No disponible,No disponible,"8,38"
2019,2,Noruega,120.270,Media-Alta,Individual,"-2,5","66,3",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,28"
2019,2,Noruega,2.220,Media-Alta,Individual,"-2,8","69,2",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,1"
2019,2,Noruega,740,Media-Alta,Individual,"-0,7","67,8",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,18"
2019,2,Noruega,123,Media-Alta,Individual,"-3,8","66,6",Baleares,Tren,No disponible,No disponible,No disponible,"8,01"
2019,3,Noruega,120.270,Media-Alta,Individual,"2,3","65,1",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,3"
2019,3,Noruega,2.220,Media-Alta,Individual,"-0,6","68,7",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,52"
2019,3,Noruega,740,Media-Alta,Individual,"1,6","64,3",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,52"
2019,3,Noruega,123,Media-Alta,Individual,"-0,8","62,7",Canarias,Tren,No disponible,No disponible,No disponible,"8,41"
2019,4,Noruega,120.270,Media-Alta,Individual,"6,3","55,3",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,17"
2019,4,Noruega,2.220,Media-Alta,Paquete,"6,3","53,6",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,46"
2019,4,Noruega,740,Media-Alta,Paquete,"3,6","58,3",Canarias,Puerto,No disponible,No disponible,No disponible,"8,68"
2019,4,Noruega,123,Media-Alta,Individual,"2,5","52,1",Canarias,Tren,No disponible,No disponible,No disponible,"8,37"
2019,5,Noruega,120.270,Media-Alta,Individual,"10,5","49,5",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,43"
2019,5,Noruega,2.220,Media-Alta,Individual,"9,5","49,8",Baleares,Carretera,No disponible,No disponible,No disponible,"8,23"
2019,5,Noruega,740,Media-Alta,Individual,"7,4","49,7",Canarias,Puerto,No disponible,No disponible,No disponible,"8,45"
2019,5,Noruega,123,Media-Alta,Paquete,"10,3","51,5",Cataluña,Tren,No disponible,No disponible,No disponible,"8,58"
2019,6,Noruega,120.270,Media-Alta,Paquete,"15,7","48,0",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,89"
2019,6,Noruega,2.220,Media-Alta,Individual,"16,5","49,2",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,54"
2019,6,Noruega,740,Media-Alta,Individual,"14,1","49,7",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,77"
2019,6,Noruega,123,Media-Alta,Individual,"13,0","48,8",Canarias,Tren,No disponible,No disponible,No disponible,"8,42"
2019,7,Noruega,120.270,Media-Alta,Individual,"17,1","51,5",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,46"
2019,7,Noruega,2.220,Media-Alta,Individual,"15,7","47,8",Canarias,Carretera,No disponible,No disponible,No disponible,"8,69"
2019,7,Noruega,740,Media-Alta,Paquete,"15,4","50,0",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,74"
2019,7,Noruega,123,Media-Alta,Individual,"16,4","45,9",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,58"
2019,8,Noruega,120.270,Media-Alta,Individual,"17,7","55,9",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,76"
2019,8,Noruega,2.220,Media-Alta,Paquete,"15,5","55,7",Canarias,Carretera,No disponible,No disponible,No disponible,"9,09"
2019,8,Noruega,740,Media-Alta,Individual,"14,8","55,8",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,42"
2019,8,Noruega,123,Media-Alta,Paquete,"17,0","59,3",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,94"
2019,9,Noruega,120.270,Media-Alta,Individual,"11,5","63,3",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,36"
2019,9,Noruega,2.220,Media-Alta,Individual,"12,7","60,9",Canarias,Carretera,No disponible,No disponible,No disponible,"8,29"
2019,9,Noruega,740,Media-Alta,Individual,"13,0","59,7",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,2"
2019,9,Noruega,123,Media-Alta,Paquete,"11,7","60,5",Canarias,Tren,No disponible,No disponible,No disponible,"8,79"
2019,10,Noruega,120.270,Media-Alta,Individual,"6,2","74,6",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,57"
