Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Países Bajos,272.833,Media-Alta,Individual,"2,0","66,6",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,43"
2019,1,Países Bajos,32.838,Media-Alta,Paquete,"5,1","71,1",Canarias,Carretera,No disponible,No disponible,No disponible,"8,72"
2019,1,Países Bajos,921,Media-Alta,Paquete,"2,4","66,9",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,8"
2019,1,Países Bajos,307,Media-Alta,Individual,"2,1","71,8",Baleares,Tren,No disponible,No disponible,No disponible,"8,19"
2019,2,Países Bajos,272.833,Media-Alta,Individual,"5,6","69,7",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,34"
2019,2,Países Bajos,32.838,Media-Alta,Individual,"6,1","65,3",Baleares,Carretera,No disponible,No disponible,No disponible,"8,2"
2019,2,Países Bajos,921,Media-Alta,Individual,"5,8","61,1",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,1"
2019,2,Países Bajos,307,Media-Alta,Individual,"7,0","60,6",Canarias,Tren,No disponible,No disponible,No disponible,"8,35"
2019,3,Países Bajos,272.833,Media-Alta,Individual,"5,7","58,6",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,39"
2019,3,Países Bajos,32.838,Media-Alta,Paquete,"8,6","56,3",Canarias,Carretera,No disponible,No disponible,No disponible,"8,62"
2019,3,Países Bajos,921,Media-Alta,Individual,"7,6","64,6",Canarias,Puerto,No disponible,No disponible,No disponible,"8,45"
2019,3,Países Bajos,307,Media-Alta,Individual,"6,8","61,3",Cataluña,Tren,No disponible,No disponible,No disponible,"8,45"
2019,4,Países Bajos,272.833,Media-Alta,Individual,"9,9","56,1",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,29"
2019,4,Países Bajos,32.838,Media-Alta,Individual,"11,5","58,6",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,23"
2019,4,Países Bajos,921,Media-Alta,Individual,"8,6","51,0",Canarias,Puerto,No disponible,No disponible,No disponible,"8,37"
2019,4,Países Bajos,307,Media-Alta,Individual,"8,5","50,2",Baleares,Tren,No disponible,No disponible,No disponible,"8,16"
2019,5,Países Bajos,272.833,Media-Alta,Individual,"12,7","49,1",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,0"
2019,5,Países Bajos,32.838,Media-Alta,Paquete,"11,4","47,0",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,58"
2019,5,Países Bajos,921,Media-Alta,Individual,"12,8","52,5",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,06"
2019,5,Países Bajos,307,Media-Alta,Individual,"13,0","51,2",Baleares,Tren,No disponible,No disponible,No disponible,"8,49"
2019,6,Países Bajos,272.833,Media-Alta,Individual,"15,8","42,6",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,43"
2019,6,Países Bajos,32.838,Media-Alta,Individual,"17,5","47,1",Baleares,Carretera,No disponible,No disponible,No disponible,"8,49"
2019,6,Países Bajos,921,Media-Alta,Individual,"14,1","40,9",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,46"
2019,6,Países Bajos,307,Media-Alta,Paquete,"17,9","41,3",Cataluña,Tren,No disponible,No disponible,No disponible,"8,74"
2019,7,Países Bajos,272.833,Media-Alta,Paquete,"17,7","48,0",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"9,06"
2019,7,Países Bajos,32.838,Media-Alta,Individual,"17,8","52,2",Canarias,Carretera,No disponible,No disponible,No disponible,"8,59"
2019,7,Países Bajos,921,Media-Alta,Individual,"18,0","45,4",Baleares,Puerto,No disponible,No disponible,No disponible,"8,72"
2019,7,Países Bajos,307,Media-Alta,Individual,"20,0","53,1",Andalucía,Tren,No disponible,No disponible,No disponible,"8,44"
2019,8,Países Bajos,272.833,Media-Alta,Individual,"17,7","59,0",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,75"
2019,8,Países Bajos,32.838,Media-Alta,Paquete,"19,4","52,4",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,71"
2019,8,Países Bajos,921,Media-Alta,Individual,"19,9","59,5",Baleares,Puerto,No disponible,No disponible,No disponible,"8,78"
2019,8,Países Bajos,307,Media-Alta,Individual,"18,9","55,8",Canarias,Tren,No disponible,No disponible,No disponible,"8,51"
2019,9,Países Bajos,272.833,Media-Alta,Individual,"14,9","63,8",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,32"
2019,9,Países Bajos,32.838,Media-Alta,Paquete,"16,6","55,9",Canarias,Carretera,No disponible,No disponible,No disponible,"8,65"
2019,9,Países Bajos,921,Media-Alta,Paquete,"13,2","57,7",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,61"
2019,9,Países Bajos,307,Media-Alta,Paquete,"14,8","64,2",Baleares,Tren,No disponible,No disponible,No disponible,"8,61"
2019,10,Países Bajos,272.833,Media-Alta,Individual,"12,1","65,4",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,56"
2019,10,Países Bajos,32.838,Media-Alta,Paquete,"12,4","64,5",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,71"
