Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Polonia,106.345,Media-Alta,Individual,"-0,6","31,6",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,49"
2019,1,Polonia,7.645,Media-Alta,Individual,"-0,2","33,9",Canarias,Carretera,No disponible,No disponible,No disponible,"8,37"
2019,1,Polonia,114,Media-Alta,Paquete,"-3,7","31,5",Canarias,Puerto,No disponible,No disponible,No disponible,"8,52"
2019,1,Polonia,0,Media-Alta,Individual,"-2,9","40,0",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,13"
2019,2,Polonia,106.345,Media-Alta,Individual,"0,8","26,4",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,34"
2019,2,Polonia,7.645,Media-Alta,Individual,"-2,8","34,2",Canarias,Carretera,No disponible,No disponible,No disponible,"8,4"
2019,2,Polonia,114,Media-Alta,Individual,"0,6","27,8",Canarias,Puerto,No disponible,No disponible,No disponible,"8,05"
2019,2,Polonia,0,Media-Alta,Paquete,"-0,7","33,9",Andalucía,Tren,No disponible,No disponible,No disponible,"8,5"
2019,3,Polonia,106.345,Media-Alta,Individual,"1,8","35,0",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,35"
2019,3,Polonia,7.645,Media-Alta,Individual,"3,9","36,2",Canarias,Carretera,No disponible,No disponible,No disponible,"8,55"
2019,3,Polonia,114,Media-Alta,Individual,"2,3","31,4",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,55"
2019,3,Polonia,0,Media-Alta,Individual,"1,5","35,0",Canarias,Tren,No disponible,No disponible,No disponible,"8,4"
2019,4,Polonia,106.345,Media-Alta,Individual,"7,9","42,2",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,13"
2019,4,Polonia,7.645,Media-Alta,Individual,"8,2","44,7",Baleares,Carretera,No disponible,No disponible,No disponible,"8,19"
