Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Portugal,34.799,Media-Alta,Individual,"8,5","112,4",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,08"
2019,1,Portugal,165.901,Media-Alta,Individual,"10,9","104,4",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,11"
2019,1,Portugal,607,Media-Alta,Individual,"11,4","115,3",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,09"
2019,1,Portugal,1.012,Media-Alta,Individual,"10,4","106,6",Andalucía,Tren,No disponible,No disponible,No disponible,"8,43"
2019,2,Portugal,34.799,Media-Alta,Individual,"12,3","98,7",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,32"
2019,2,Portugal,165.901,Media-Alta,Individual,"10,8","101,2",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,43"
2019,2,Portugal,607,Media-Alta,Individual,"9,8","106,6",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,17"
2019,2,Portugal,1.012,Media-Alta,Individual,"9,6","105,7",Extremadura,Tren,No disponible,No disponible,No disponible,"8,16"
2019,3,Portugal,34.799,Media-Alta,Individual,"13,7","75,3",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,32"
2019,3,Portugal,165.901,Media-Alta,Individual,"12,8","80,2",Galicia,Carretera,No disponible,No disponible,No disponible,"8,55"
2019,3,Portugal,607,Media-Alta,Paquete,"14,1","86,1",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,72"
2019,3,Portugal,1.012,Media-Alta,Individual,"14,8","84,0",Galicia,Tren,No disponible,No disponible,No disponible,"8,47"
2019,4,Portugal,34.799,Media-Alta,Individual,"15,8","71,7",Castilla y León,Aeropuerto,No disponible,No disponible,No disponible,"8,19"
2019,4,Portugal,165.901,Media-Alta,Individual,"13,8","69,6",Castilla y León,Carretera,No disponible,No disponible,No disponible,"8,03"
2019,4,Portugal,607,Media-Alta,Individual,"14,1","61,4",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,1"
2019,4,Portugal,1.012,Media-Alta,Individual,"14,1","64,2",Galicia,Tren,No disponible,No disponible,No disponible,"8,45"
2019,5,Portugal,34.799,Media-Alta,Paquete,"15,8","56,2",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,71"
2019,5,Portugal,165.901,Media-Alta,Individual,"17,7","63,1",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,1"
2019,5,Portugal,607,Media-Alta,Individual,"16,1","54,3",Galicia,Puerto,No disponible,No disponible,No disponible,"8,35"
2019,5,Portugal,1.012,Media-Alta,Individual,"16,6","57,0",Castilla y León,Tren,No disponible,No disponible,No disponible,"8,27"
