Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Reino Unido,1.447.925,Media-Alta,Paquete,"4,2","77,7",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,56"
2019,1,Reino Unido,37.511,Media-Alta,Individual,"5,5","71,9",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,25"
2019,1,Reino Unido,12.004,Media-Alta,Paquete,"7,2","76,2",Baleares,Puerto,No disponible,No disponible,No disponible,"8,6"
2019,1,Reino Unido,1.500,Media-Alta,Paquete,"4,0","79,2",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,39"
2019,2,Reino Unido,1.447.925,Media-Alta,Paquete,"6,4","64,2",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,43"
2019,2,Reino Unido,37.511,Media-Alta,Individual,"6,9","67,2",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,12"
2019,2,Reino Unido,12.004,Media-Alta,Paquete,"6,4","68,7",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,75"
2019,2,Reino Unido,1.500,Media-Alta,Paquete,"7,5","67,2",Cataluña,Tren,No disponible,No disponible,No disponible,"8,74"
2019,3,Reino Unido,1.447.925,Media-Alta,Paquete,"9,0","56,4",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,75"
2019,3,Reino Unido,37.511,Media-Alta,Paquete,"7,4","54,4",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,71"
2019,3,Reino Unido,12.004,Media-Alta,Paquete,"8,0","51,2",Baleares,Puerto,No disponible,No disponible,No disponible,"8,84"
2019,3,Reino Unido,1.500,Media-Alta,Paquete,"9,1","57,4",Baleares,Tren,No disponible,No disponible,No disponible,"8,62"
2019,4,Reino Unido,1.447.925,Media-Alta,Individual,"8,8","53,7",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,15"
2019,4,Reino Unido,37.511,Media-Alta,Paquete,"10,8","47,3",Baleares,Carretera,No disponible,No disponible,No disponible,"8,69"
2019,4,Reino Unido,12.004,Media-Alta,Paquete,"8,4","48,4",Canarias,Puerto,No disponible,No disponible,No disponible,"8,5"
2019,4,Reino Unido,1.500,Media-Alta,Individual,"11,6","50,7",Canarias,Tren,No disponible,No disponible,No disponible,"8,4"
2019,5,Reino Unido,1.447.925,Media-Alta,Paquete,"11,3","52,4",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,52"
2019,5,Reino Unido,37.511,Media-Alta,Paquete,"14,4","48,4",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,44"
2019,5,Reino Unido,12.004,Media-Alta,Paquete,"11,6","52,4",Canarias,Puerto,No disponible,No disponible,No disponible,"8,6"
2019,5,Reino Unido,1.500,Media-Alta,Paquete,"13,5","53,0",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,64"
2019,6,Reino Unido,1.447.925,Media-Alta,Individual,"15,2","46,5",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,6"
2019,6,Reino Unido,37.511,Media-Alta,Paquete,"14,3","47,7",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"9,09"
2019,6,Reino Unido,12.004,Media-Alta,Paquete,"16,2","48,4",Canarias,Puerto,No disponible,No disponible,No disponible,"8,84"
2019,6,Reino Unido,1.500,Media-Alta,Individual,"16,1","46,0",Baleares,Tren,No disponible,No disponible,No disponible,"8,47"
2019,7,Reino Unido,1.447.925,Media-Alta,Individual,"17,5","49,3",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,61"
2019,7,Reino Unido,37.511,Media-Alta,Paquete,"18,9","54,0",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,96"
2019,7,Reino Unido,12.004,Media-Alta,Individual,"16,8","51,9",Baleares,Puerto,No disponible,No disponible,No disponible,"8,57"
2019,7,Reino Unido,1.500,Media-Alta,Individual,"19,3","47,3",Baleares,Tren,No disponible,No disponible,No disponible,"8,71"
2019,8,Reino Unido,1.447.925,Media-Alta,Individual,"19,4","49,3",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,45"
2019,8,Reino Unido,37.511,Media-Alta,Individual,"16,4","45,3",Canarias,Carretera,No disponible,No disponible,No disponible,"8,64"
2019,8,Reino Unido,12.004,Media-Alta,Individual,"19,1","46,5",Baleares,Puerto,No disponible,No disponible,No disponible,"8,49"
2019,8,Reino Unido,1.500,Media-Alta,Paquete,"16,8","51,4",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"9,1"
2019,9,Reino Unido,1.447.925,Media-Alta,Individual,"14,4","56,3",Comunidad Valenciana,Aeropuerto,No disponible,No disponible,No disponible,"8,29"
2019,9,Reino Unido,37.511,Media-Alta,Individual,"16,2","50,8",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,3"
