Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,República Checa,18.730,Baja,Individual,"10,3","37,2",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,1"
2019,1,República Checa,521,Baja,Individual,"13,8","39,7",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,34"
2019,1,República Checa,39,Baja,Paquete,"10,5","38,7",Canarias,Puerto,No disponible,No disponible,No disponible,"8,39"
2019,1,República Checa,19,Baja,Individual,"13,6","39,7",Cataluña,Tren,No disponible,No disponible,No disponible,"8,07"
2019,2,República Checa,20.067,Baja,Individual,"14,8","35,5",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,18"
2019,2,República Checa,559,Baja,Paquete,"11,5","36,4",Canarias,Carretera,No disponible,No disponible,No disponible,"8,57"
2019,2,República Checa,41,Baja,Individual,"12,7","30,0",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,26"
2019,2,República Checa,21,Baja,Individual,"14,0","30,6",Canarias,Tren,No disponible,No disponible,No disponible,"8,41"
2019,3,República Checa,30.323,Baja,Paquete,"15,0","37,3",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,79"
2019,3,República Checa,844,Baja,Individual,"13,4","39,1",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,17"
2019,3,República Checa,63,Baja,Individual,"15,5","36,1",Baleares,Puerto,No disponible,No disponible,No disponible,"8,44"
2019,3,República Checa,31,Baja,Paquete,"15,7","34,4",Baleares,Tren,No disponible,No disponible,No disponible,"8,38"
2019,4,República Checa,37.905,Media,Individual,"18,5","41,6",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,45"
2019,4,República Checa,1.055,Media,Individual,"15,6","47,6",Baleares,Carretera,No disponible,No disponible,No disponible,"8,19"
2019,4,República Checa,78,Media,Paquete,"18,7","41,1",Comunidad de Madrid,Puerto,No disponible,No disponible,No disponible,"8,77"
2019,4,República Checa,39,Media,Individual,"15,6","45,9",Cataluña,Tren,No disponible,No disponible,No disponible,"8,46"
2019,5,República Checa,45.485,Media-Alta,Individual,"19,1","43,0",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,26"
2019,5,República Checa,1.266,Media-Alta,Paquete,"21,6","44,8",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,56"
2019,5,República Checa,94,Media-Alta,Individual,"20,3","45,5",Cataluña,Puerto,No disponible,No disponible,No disponible,"8,24"
2019,5,República Checa,47,Media-Alta,Individual,"19,0","42,8",Canarias,Tren,No disponible,No disponible,No disponible,"8,11"
2019,6,República Checa,57.080,Alta,Individual,"25,0","22,8",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,69"
2019,6,República Checa,1.589,Alta,Individual,"23,1","28,7",Comunidad de Madrid,Carretera,No disponible,No disponible,No disponible,"8,54"
2019,6,República Checa,118,Alta,Individual,"25,3","27,0",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,5"
2019,6,República Checa,59,Alta,Individual,"23,3","28,1",Baleares,Tren,No disponible,No disponible,No disponible,"8,4"
2019,7,República Checa,69.120,Alta,Individual,"28,1","19,9",Comunidad de Madrid,Aeropuerto,No disponible,No disponible,No disponible,"8,59"
2019,7,República Checa,1.924,Alta,Individual,"28,7","18,3",Canarias,Carretera,No disponible,No disponible,No disponible,"8,72"
2019,7,República Checa,143,Alta,Individual,"27,8","17,4",Baleares,Puerto,No disponible,No disponible,No disponible,"8,81"
2019,7,República Checa,71,Alta,Individual,"27,2","12,2",Baleares,Tren,No disponible,No disponible,No disponible,"8,58"
2019,8,República Checa,65.999,Alta,Individual,"28,5","15,3",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,73"
2019,8,República Checa,1.837,Alta,Individual,"25,6","12,5",Baleares,Carretera,No disponible,No disponible,No disponible,"8,88"
2019,8,República Checa,136,Alta,Individual,"28,6","18,3",Canarias,Puerto,No disponible,No disponible,No disponible,"8,6"
2019,8,República Checa,68,Alta,Individual,"28,5","19,9",Cataluña,Tren,No disponible,No disponible,No disponible,"8,86"
2019,9,República Checa,43.701,Media-Alta,Individual,"25,5","30,8",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,62"
2019,9,República Checa,1.216,Media-Alta,Individual,"24,4","31,6",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,49"
2019,9,República Checa,90,Media-Alta,Individual,"25,4","35,3",Canarias,Puerto,No disponible,No disponible,No disponible,"8,69"
2019,9,República Checa,45,Media-Alta,Paquete,"25,5","38,4",Cataluña,Tren,No disponible,No disponible,No disponible,"8,79"
2019,10,República Checa,28.986,Baja,Individual,"20,0","42,9",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,37"
