Año,mes,Pais,Num_Turistas,Estacionalidad,Organizacion_Satisfaccion,Temperatura,Precipitacion,Destino_Principal,Medio_Acceso,Num_Vuelos,Num_Asientos,Num_Pasajeros,Satisfaccion
2019,1,Suecia,137.765,Media,Individual,"10,0","32,2",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"8,13"
2019,1,Suecia,3.121,Media,Individual,"13,5","37,3",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,5"
2019,1,Suecia,709,Media,Paquete,"10,1","33,3",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,49"
2019,1,Suecia,284,Media,Individual,"12,4","31,4",Andalucía,Tren,No disponible,No disponible,No disponible,"8,35"
2019,2,Suecia,111.427,Baja,Paquete,"13,0","35,3",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,47"
2019,2,Suecia,2.525,Baja,Paquete,"11,9","37,1",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,81"
2019,2,Suecia,574,Baja,Paquete,"14,9","37,8",Canarias,Puerto,No disponible,No disponible,No disponible,"8,57"
2019,2,Suecia,230,Baja,Individual,"14,7","38,3",Andalucía,Tren,No disponible,No disponible,No disponible,"8,49"
2019,3,Suecia,145.868,Media,Individual,"15,4","34,0",Andalucía,Aeropuerto,No disponible,No disponible,No disponible,"8,19"
2019,3,Suecia,3.305,Media,Individual,"13,6","36,0",Canarias,Carretera,No disponible,No disponible,No disponible,"8,58"
2019,3,Suecia,751,Media,Individual,"14,5","38,0",Andalucía,Puerto,No disponible,No disponible,No disponible,"8,45"
2019,3,Suecia,300,Media,Paquete,"15,8","34,2",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,65"
2019,4,Suecia,151.946,Media,Paquete,"15,5","40,1",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,43"
2019,4,Suecia,3.443,Media,Individual,"15,3","41,0",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,16"
2019,4,Suecia,782,Media,Individual,"18,9","46,9",Canarias,Puerto,No disponible,No disponible,No disponible,"8,33"
2019,4,Suecia,313,Media,Paquete,"16,4","41,7",Cataluña,Tren,No disponible,No disponible,No disponible,"8,43"
2019,5,Suecia,166.127,Media-Alta,Paquete,"18,3","41,3",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,44"
2019,5,Suecia,3.764,Media-Alta,Paquete,"18,7","41,3",Cataluña,Carretera,No disponible,No disponible,No disponible,"8,54"
2019,5,Suecia,855,Media-Alta,Paquete,"19,2","46,3",Canarias,Puerto,No disponible,No disponible,No disponible,"8,69"
2019,5,Suecia,342,Media-Alta,Individual,"21,9","49,6",Baleares,Tren,No disponible,No disponible,No disponible,"8,57"
2019,6,Suecia,198.542,Media-Alta,Individual,"25,7","24,7",Cataluña,Aeropuerto,No disponible,No disponible,No disponible,"8,59"
2019,6,Suecia,4.498,Media-Alta,Individual,"25,2","26,0",Andalucía,Carretera,No disponible,No disponible,No disponible,"8,77"
2019,6,Suecia,1.022,Media-Alta,Paquete,"23,7","20,2",Comunidad Valenciana,Puerto,No disponible,No disponible,No disponible,"8,94"
2019,6,Suecia,409,Media-Alta,Paquete,"23,6","26,7",Baleares,Tren,No disponible,No disponible,No disponible,"8,92"
2019,7,Suecia,212.724,Alta,Individual,"28,0","11,7",Canarias,Aeropuerto,No disponible,No disponible,No disponible,"8,95"
2019,7,Suecia,4.820,Alta,Paquete,"27,6","17,0",Baleares,Carretera,No disponible,No disponible,No disponible,"9,01"
2019,7,Suecia,1.095,Alta,Paquete,"25,1","13,5",Canarias,Puerto,No disponible,No disponible,No disponible,"8,97"
2019,7,Suecia,438,Alta,Paquete,"25,6","18,7",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"9,17"
2019,8,Suecia,226.906,Alta,Paquete,"27,0","19,0",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"9,26"
2019,8,Suecia,5.141,Alta,Individual,"28,4","10,5",Comunidad Valenciana,Carretera,No disponible,No disponible,No disponible,"8,96"
2019,8,Suecia,1.168,Alta,Individual,"26,3","18,0",Canarias,Puerto,No disponible,No disponible,No disponible,"8,87"
2019,8,Suecia,467,Alta,Individual,"26,8","11,7",Comunidad Valenciana,Tren,No disponible,No disponible,No disponible,"8,85"
2019,9,Suecia,186.387,Media-Alta,Paquete,"22,8","39,9",Baleares,Aeropuerto,No disponible,No disponible,No disponible,"9,08"
