Anio,Mes,Pais,Medio_Acceso,Total_Turistas
2019,2,Reino Unido,Aeropuerto,1447925
2019,7,Reino Unido,Aeropuerto,1447925
2019,12,Reino Unido,Aeropuerto,1447925
2019,10,Reino Unido,Aeropuerto,1447925
2019,9,Reino Unido,Aeropuerto,1447925
2019,1,Reino Unido,Aeropuerto,1447925
2019,8,Reino Unido,Aeropuerto,1447925
2019,11,Reino Unido,Aeropuerto,1447925
2019,5,Reino Unido,Aeropuerto,1447925
2019,4,Reino Unido,Aeropuerto,1447925
2019,3,Reino Unido,Aeropuerto,1447925
2019,6,Reino Unido,Aeropuerto,1447925
2023,10,Reino Unido,Aeropuerto,1403438
2023,12,Reino Unido,Aeropuerto,1403438
2023,2,Reino Unido,Aeropuerto,1403438
2023,3,Reino Unido,Aeropuerto,1403438
2023,4,Reino Unido,Aeropuerto,1403438
2023,5,Reino Unido,Aeropuerto,1403438
2023,6,Reino Unido,Aeropuerto,1403438
2023,1,Reino Unido,Aeropuerto,1403438
2023,7,Reino Unido,Aeropuerto,1403438
2023,8,Reino Unido,Aeropuerto,1403438
2023,11,Reino Unido,Aeropuerto,1403438
2023,9,Reino Unido,Aeropuerto,1403438
2023,8,Alemania,Aeropuerto,1236996
2022,12,Reino Unido,Aeropuerto,1231943
2022,1,Reino Unido,Aeropuerto,1231943
2022,3,Reino Unido,Aeropuerto,1231943
2022,4,Reino Unido,Aeropuerto,1231943
2022,5,Reino Unido,Aeropuerto,1231943
2022,6,Reino Unido,Aeropuerto,1231943
2022,8,Reino Unido,Aeropuerto,1231943
2022,9,Reino Unido,Aeropuerto,1231943
2022,10,Reino Unido,Aeropuerto,1231943
2022,11,Reino Unido,Aeropuerto,1231943
2022,2,Reino Unido,Aeropuerto,1231943
2022,7,Reino Unido,Aeropuerto,1231943
2019,8,Alemania,Aeropuerto,1187213
2023,7,Alemania,Aeropuerto,1185455
2019,7,Alemania,Aeropuerto,1166013
2019,9,Alemania,Aeropuerto,1144813
2023,6,Alemania,Aeropuerto,1133913
2023,9,Alemania,Aeropuerto,1133913
2022,9,Alemania,Aeropuerto,1114793
2022,8,Alemania,Aeropuerto,1114793
2022,7,Alemania,Aeropuerto,1114793
2019,6,Alemania,Aeropuerto,1113012
2022,6,Alemania,Aeropuerto,1068343
2019,5,Alemania,Aeropuerto,1038812
2023,10,Alemania,Aeropuerto,1030830
2022,10,Alemania,Aeropuerto,1021893
2019,10,Alemania,Aeropuerto,996411
2023,5,Alemania,Aeropuerto,979289
2022,5,Alemania,Aeropuerto,928994
2019,4,Alemania,Aeropuerto,901010
2023,4,Alemania,Aeropuerto,824664
2021,9,Alemania,Aeropuerto,783418
2021,10,Alemania,Aeropuerto,758936
2019,11,Alemania,Aeropuerto,720808
2022,11,Alemania,Aeropuerto,696745
2023,3,Alemania,Aeropuerto,670040
2021,7,Alemania,Aeropuerto,661009
2019,3,Alemania,Aeropuerto,657207
2019,12,Alemania,Aeropuerto,636007
2023,9,Francia,Carretera,630330
2023,12,Francia,Carretera,630330
2023,11,Francia,Carretera,630330
2023,2,Francia,Carretera,630330
2023,10,Francia,Carretera,630330
2023,3,Francia,Carretera,630330
2023,8,Francia,Carretera,630330
2023,7,Francia,Carretera,630330
2023,1,Francia,Carretera,630330
2023,4,Francia,Carretera,630330
2023,5,Francia,Carretera,630330
2023,6,Francia,Carretera,630330
2023,11,Alemania,Aeropuerto,618498
2021,8,Alemania,Aeropuerto,612045
2022,4,Alemania,Aeropuerto,603846
2019,9,Francia,Carretera,589647
2019,7,Francia,Carretera,589647
2019,5,Francia,Carretera,589647
2019,8,Francia,Carretera,589647
2019,1,Francia,Carretera,589647
2019,4,Francia,Carretera,589647
2019,10,Francia,Carretera,589647
2019,3,Francia,Carretera,589647
2019,2,Francia,Carretera,589647
2019,11,Francia,Carretera,589647
2019,12,Francia,Carretera,589647
2019,6,Francia,Carretera,589647
2019,2,Alemania,Aeropuerto,530006
2023,12,Alemania,Aeropuerto,515415
2023,2,Alemania,Aeropuerto,515415
2022,3,Francia,Carretera,513010
2022,2,Francia,Carretera,513010
2022,11,Francia,Carretera,513010
2022,7,Francia,Carretera,513010
2022,10,Francia,Carretera,513010
2022,9,Francia,Carretera,513010
2022,4,Francia,Carretera,513010
2022,8,Francia,Carretera,513010
2022,1,Francia,Carretera,513010
2022,6,Francia,Carretera,513010
2022,12,Francia,Carretera,513010
2022,5,Francia,Carretera,513010
2022,12,Alemania,Aeropuerto,510947
2019,1,Alemania,Aeropuerto,508806
2021,6,Alemania,Aeropuerto,489636
2022,3,Alemania,Aeropuerto,464497
2023,1,Alemania,Aeropuerto,463874
2023,7,EE.UU.,Aeropuerto,458948
2021,11,Alemania,Aeropuerto,440672
2020,1,Alemania,Aeropuerto,439546
2023,6,EE.UU.,Aeropuerto,415714
2020,2,Alemania,Aeropuerto,406580
2019,7,EE.UU.,Aeropuerto,382174
2023,9,Italia,Aeropuerto,381361
2023,5,Italia,Aeropuerto,381361
2023,3,Italia,Aeropuerto,381361
2023,2,Italia,Aeropuerto,381361
2023,11,Italia,Aeropuerto,381361
2023,1,Italia,Aeropuerto,381361
2023,8,Italia,Aeropuerto,381361
2023,4,Italia,Aeropuerto,381361
2023,10,Italia,Aeropuerto,381361
2023,7,Italia,Aeropuerto,381361
2023,12,Italia,Aeropuerto,381361
2023,6,Italia,Aeropuerto,381361
2023,8,Bélgica,Aeropuerto,378083
2020,8,Alemania,Aeropuerto,373614
2019,6,EE.UU.,Aeropuerto,373217
2023,10,EE.UU.,Aeropuerto,372480
2022,2,Alemania,Aeropuerto,371598
2022,8,Bélgica,Aeropuerto,364401
2019,1,Italia,Aeropuerto,349396
2019,6,Italia,Aeropuerto,349396
2019,7,Italia,Aeropuerto,349396
2019,2,Italia,Aeropuerto,349396
2019,12,Italia,Aeropuerto,349396
2019,5,Italia,Aeropuerto,349396
2019,8,Italia,Aeropuerto,349396
2019,3,Italia,Aeropuerto,349396
2019,9,Italia,Aeropuerto,349396
2019,11,Italia,Aeropuerto,349396
2019,4,Italia,Aeropuerto,349396
2019,10,Italia,Aeropuerto,349396
2021,3,Reino Unido,Aeropuerto,344431
2021,4,Reino Unido,Aeropuerto,344431
2021,12,Reino Unido,Aeropuerto,344431
2021,2,Reino Unido,Aeropuerto,344431
2021,1,Reino Unido,Aeropuerto,344431
2021,7,Reino Unido,Aeropuerto,344431
2021,11,Reino Unido,Aeropuerto,344431
2021,8,Reino Unido,Aeropuerto,344431
2021,10,Reino Unido,Aeropuerto,344431
2021,5,Reino Unido,Aeropuerto,344431
2021,6,Reino Unido,Aeropuerto,344431
2021,9,Reino Unido,Aeropuerto,344431
2021,12,Alemania,Aeropuerto,342746
2023,8,EE.UU.,Aeropuerto,339222
2019,9,EE.UU.,Aeropuerto,334402
2019,8,Bélgica,Aeropuerto,333640
2022,6,EE.UU.,Aeropuerto,329487
2023,8,Francia,Aeropuerto,329379
2023,3,Francia,Aeropuerto,329379
2023,9,Francia,Aeropuerto,329379
2023,1,Francia,Aeropuerto,329379
2023,11,Francia,Aeropuerto,329379
2023,2,Francia,Aeropuerto,329379
2023,6,Francia,Aeropuerto,329379
2023,4,Francia,Aeropuerto,329379
2023,5,Francia,Aeropuerto,329379
2023,12,Francia,Aeropuerto,329379
2023,7,Francia,Aeropuerto,329379
2023,10,Francia,Aeropuerto,329379
2023,11,EE.UU.,Aeropuerto,325920
2022,7,EE.UU.,Aeropuerto,319503
2023,8,Países Bajos,Aeropuerto,317439
2023,1,Países Bajos,Aeropuerto,317439
2023,4,Países Bajos,Aeropuerto,317439
2023,11,Países Bajos,Aeropuerto,317439
2023,10,Países Bajos,Aeropuerto,317439
2023,6,Países Bajos,Aeropuerto,317439
2023,9,Países Bajos,Aeropuerto,317439
2023,3,Países Bajos,Aeropuerto,317439
2023,7,Países Bajos,Aeropuerto,317439
2023,12,Países Bajos,Aeropuerto,317439
2023,5,Países Bajos,Aeropuerto,317439
2023,2,Países Bajos,Aeropuerto,317439
2022,12,Italia,Aeropuerto,313412
2022,6,Italia,Aeropuerto,313412
2022,4,Italia,Aeropuerto,313412
2022,1,Italia,Aeropuerto,313412
2022,8,Italia,Aeropuerto,313412
2022,11,Italia,Aeropuerto,313412
2022,3,Italia,Aeropuerto,313412
2022,10,Italia,Aeropuerto,313412
2022,2,Italia,Aeropuerto,313412
2022,9,Italia,Aeropuerto,313412
2022,7,Italia,Aeropuerto,313412
2022,5,Italia,Aeropuerto,313412
2022,11,Francia,Aeropuerto,312852
2022,7,Francia,Aeropuerto,312852
2022,1,Francia,Aeropuerto,312852
2022,9,Francia,Aeropuerto,312852
2022,8,Francia,Aeropuerto,312852
2022,2,Francia,Aeropuerto,312852
2022,10,Francia,Aeropuerto,312852
2022,6,Francia,Aeropuerto,312852
2022,4,Francia,Aeropuerto,312852
2022,3,Francia,Aeropuerto,312852
2022,5,Francia,Aeropuerto,312852
2022,12,Francia,Aeropuerto,312852
2022,5,EE.UU.,Aeropuerto,312014
2019,10,Francia,Aeropuerto,309216
2019,3,Francia,Aeropuerto,309216
2019,5,Francia,Aeropuerto,309216
2019,9,Francia,Aeropuerto,309216
2019,7,Francia,Aeropuerto,309216
2019,12,Francia,Aeropuerto,309216
2019,11,Francia,Aeropuerto,309216
2019,4,Francia,Aeropuerto,309216
2019,1,Francia,Aeropuerto,309216
2019,8,Francia,Aeropuerto,309216
2019,6,Francia,Aeropuerto,309216
2019,2,Francia,Aeropuerto,309216
2019,5,EE.UU.,Aeropuerto,304545
2022,9,EE.UU.,Aeropuerto,304526
2023,9,Bélgica,Aeropuerto,298733
2021,2,Francia,Carretera,295867
2021,3,Francia,Carretera,295867
2021,4,Francia,Carretera,295867
2021,11,Francia,Carretera,295867
2021,10,Francia,Carretera,295867
2021,8,Francia,Carretera,295867
2021,12,Francia,Carretera,295867
2021,6,Francia,Carretera,295867
2021,9,Francia,Carretera,295867
2021,5,Francia,Carretera,295867
2021,1,Francia,Carretera,295867
2021,7,Francia,Carretera,295867
2021,5,Alemania,Aeropuerto,293782
2022,1,Países Bajos,Aeropuerto,288885
2022,4,Países Bajos,Aeropuerto,288885
2022,8,Países Bajos,Aeropuerto,288885
2022,3,Países Bajos,Aeropuerto,288885
2022,12,Países Bajos,Aeropuerto,288885
2022,9,Países Bajos,Aeropuerto,288885
2022,11,Países Bajos,Aeropuerto,288885
2022,10,Países Bajos,Aeropuerto,288885
2022,6,Países Bajos,Aeropuerto,288885
2022,7,Países Bajos,Aeropuerto,288885
2022,5,Países Bajos,Aeropuerto,288885
2022,2,Países Bajos,Aeropuerto,288885
2022,10,EE.UU.,Aeropuerto,287053
2023,5,EE.UU.,Aeropuerto,282685
2022,1,Alemania,Aeropuerto,278698
2019,10,EE.UU.,Aeropuerto,274687
2019,3,Países Bajos,Aeropuerto,272833
2019,4,Países Bajos,Aeropuerto,272833
2019,5,Países Bajos,Aeropuerto,272833
2019,12,Países Bajos,Aeropuerto,272833
2019,1,Países Bajos,Aeropuerto,272833
2019,9,Países Bajos,Aeropuerto,272833
2019,7,Países Bajos,Aeropuerto,272833
2019,8,Países Bajos,Aeropuerto,272833
2019,6,Países Bajos,Aeropuerto,272833
2019,10,Países Bajos,Aeropuerto,272833
2019,11,Países Bajos,Aeropuerto,272833
2019,2,Países Bajos,Aeropuerto,272833
2023,9,EE.UU.,Aeropuerto,272708
2022,9,Bélgica,Aeropuerto,271132
2019,9,Bélgica,Aeropuerto,259010
2019,8,EE.UU.,Aeropuerto,253787
2020,9,Reino Unido,Aeropuerto,246142
2020,10,Reino Unido,Aeropuerto,246142
2020,4,Reino Unido,Aeropuerto,246142
2020,12,Reino Unido,Aeropuerto,246142
2020,7,Reino Unido,Aeropuerto,246142
2020,5,Reino Unido,Aeropuerto,246142
2020,6,Reino Unido,Aeropuerto,246142
2020,8,Reino Unido,Aeropuerto,246142
2020,11,Reino Unido,Aeropuerto,246142
2020,1,Reino Unido,Aeropuerto,246142
2020,3,Reino Unido,Aeropuerto,246142
2020,2,Reino Unido,Aeropuerto,246142
2023,10,Bélgica,Aeropuerto,245054
2022,10,Bélgica,Aeropuerto,242934
2020,9,Francia,Carretera,237382
2020,8,Francia,Carretera,237382
2020,2,Francia,Carretera,237382
2020,11,Francia,Carretera,237382
2020,7,Francia,Carretera,237382
2020,12,Francia,Carretera,237382
2020,1,Francia,Carretera,237382
2020,3,Francia,Carretera,237382
2020,10,Francia,Carretera,237382
2020,6,Francia,Carretera,237382
2020,4,Francia,Carretera,237382
2020,5,Francia,Carretera,237382
2019,4,EE.UU.,Aeropuerto,232887
2020,3,Alemania,Aeropuerto,230762
2022,7,Bélgica,Aeropuerto,227751
2019,8,Suecia,Aeropuerto,226906
2023,4,EE.UU.,Aeropuerto,226148
2019,6,Bélgica,Aeropuerto,223889
2019,5,Bélgica,Aeropuerto,215110
2019,3,EE.UU.,Aeropuerto,214973
2019,11,EE.UU.,Aeropuerto,214973
2023,4,Bélgica,Aeropuerto,214714
2021,8,Bélgica,Aeropuerto,214302
2019,7,Suecia,Aeropuerto,212724
2022,6,Bélgica,Aeropuerto,212567
2022,8,EE.UU.,Aeropuerto,212169
2021,7,Bélgica,Aeropuerto,209318
2023,7,Suiza,Aeropuerto,208069
2021,9,Bélgica,Aeropuerto,205580
2019,8,Suiza,Aeropuerto,203382
2023,3,Irlanda,Aeropuerto,199866
2023,2,Irlanda,Aeropuerto,199866
2023,1,Irlanda,Aeropuerto,199866
2023,10,Irlanda,Aeropuerto,199866
2023,9,Irlanda,Aeropuerto,199866
2023,8,Irlanda,Aeropuerto,199866
2023,5,Irlanda,Aeropuerto,199866
2023,7,Irlanda,Aeropuerto,199866
2023,4,Irlanda,Aeropuerto,199866
2023,11,Irlanda,Aeropuerto,199866
2023,6,Irlanda,Aeropuerto,199866
2023,12,Irlanda,Aeropuerto,199866
2022,4,Bélgica,Aeropuerto,199553
2019,6,Suecia,Aeropuerto,198542
2023,5,Bélgica,Aeropuerto,198377
2023,7,Bélgica,Aeropuerto,198377
2023,12,EE.UU.,Aeropuerto,196217
2022,7,Suiza,Aeropuerto,194572
2023,3,EE.UU.,Aeropuerto,192891
2023,6,Bélgica,Aeropuerto,191375
2023,8,Suiza,Aeropuerto,190730
2023,10,Suiza,Aeropuerto,190730
2022,4,EE.UU.,Aeropuerto,187209
2019,7,Bélgica,Aeropuerto,186574
2019,10,Bélgica,Aeropuerto,186574
2019,9,Suecia,Aeropuerto,186387
2022,5,Bélgica,Aeropuerto,184370
2021,1,Francia,Aeropuerto,183826
2021,6,Francia,Aeropuerto,183826
2021,10,Francia,Aeropuerto,183826
2021,11,Francia,Aeropuerto,183826
2021,4,Francia,Aeropuerto,183826
2021,3,Francia,Aeropuerto,183826
2021,12,Francia,Aeropuerto,183826
2021,5,Francia,Aeropuerto,183826
2021,7,Francia,Aeropuerto,183826
2021,2,Francia,Aeropuerto,183826
2021,9,Francia,Aeropuerto,183826
2021,8,Francia,Aeropuerto,183826
2023,9,Suiza,Aeropuerto,182060
2023,7,Suecia,Aeropuerto,180165
2022,10,Suiza,Aeropuerto,180159
2022,11,EE.UU.,Aeropuerto,179720
2019,12,Irlanda,Aeropuerto,178128
2019,8,Irlanda,Aeropuerto,178128
2019,6,Irlanda,Aeropuerto,178128
2019,1,Irlanda,Aeropuerto,178128
2019,4,Irlanda,Aeropuerto,178128
2019,3,Irlanda,Aeropuerto,178128
2019,5,Irlanda,Aeropuerto,178128
2019,9,Irlanda,Aeropuerto,178128
2019,11,Irlanda,Aeropuerto,178128
2019,7,Irlanda,Aeropuerto,178128
2019,2,Irlanda,Aeropuerto,178128
2019,10,Irlanda,Aeropuerto,178128
2021,10,Bélgica,Aeropuerto,176924
2019,9,Suiza,Aeropuerto,175722
2023,6,Austria,Aeropuerto,174461
2022,7,Dinamarca,Aeropuerto,173530
2023,5,Suiza,Aeropuerto,173391
2019,10,Suecia,Aeropuerto,172205
2021,4,Alemania,Aeropuerto,171372
2019,10,Suiza,Aeropuerto,170841
2023,8,Austria,Aeropuerto,169869
2023,7,Portugal,Carretera,169033
2023,12,Portugal,Carretera,169033
2023,10,Portugal,Carretera,169033
2023,2,Portugal,Carretera,169033
2023,1,Portugal,Carretera,169033
2023,4,Portugal,Carretera,169033
2023,8,Portugal,Carretera,169033
2023,9,Portugal,Carretera,169033
2023,6,Portugal,Carretera,169033
2023,3,Portugal,Carretera,169033
2023,5,Portugal,Carretera,169033
2023,11,Portugal,Carretera,169033
2022,12,Irlanda,Aeropuerto,168308
2022,5,Irlanda,Aeropuerto,168308
2022,2,Irlanda,Aeropuerto,168308
2022,7,Irlanda,Aeropuerto,168308
2022,6,Irlanda,Aeropuerto,168308
2022,1,Irlanda,Aeropuerto,168308
2022,8,Irlanda,Aeropuerto,168308
2022,3,Irlanda,Aeropuerto,168308
2022,11,Irlanda,Aeropuerto,168308
2022,10,Irlanda,Aeropuerto,168308
2022,9,Irlanda,Aeropuerto,168308
2022,4,Irlanda,Aeropuerto,168308
2023,11,Bélgica,Aeropuerto,168037
2019,7,Rusia,Aeropuerto,166867
2019,5,Suecia,Aeropuerto,166127
2019,11,Suecia,Aeropuerto,166127
2019,8,Portugal,Carretera,165901
2019,2,Portugal,Carretera,165901
2019,5,Portugal,Carretera,165901
2019,11,Portugal,Carretera,165901
2019,6,Portugal,Carretera,165901
2019,3,Portugal,Carretera,165901
2019,4,Portugal,Carretera,165901
2019,9,Portugal,Carretera,165901
2019,1,Portugal,Carretera,165901
2019,10,Portugal,Carretera,165901
2019,7,Portugal,Carretera,165901
2019,12,Portugal,Carretera,165901
2019,4,Bélgica,Aeropuerto,164625
2019,6,Rusia,Aeropuerto,161810
2022,7,Suecia,Aeropuerto,160264
2019,6,Suiza,Aeropuerto,159452
2019,8,Dinamarca,Aeropuerto,158607
2019,8,Rusia,Aeropuerto,158018
2021,10,Suiza,Aeropuerto,156610
2023,6,Suiza,Aeropuerto,156051
2023,7,Dinamarca,Aeropuerto,155029
2023,5,Austria,Aeropuerto,154948
2019,5,Suiza,Aeropuerto,154570
2022,8,Portugal,Carretera,152545
2022,3,Portugal,Carretera,152545
2022,5,Portugal,Carretera,152545
2022,12,Portugal,Carretera,152545
2022,6,Portugal,Carretera,152545
2022,1,Portugal,Carretera,152545
2022,10,Portugal,Carretera,152545
2022,4,Portugal,Carretera,152545
2022,7,Portugal,Carretera,152545
2022,11,Portugal,Carretera,152545
2022,2,Portugal,Carretera,152545
2022,9,Portugal,Carretera,152545
2023,2,Polonia,Aeropuerto,152242
2023,11,Polonia,Aeropuerto,152242
2023,12,Polonia,Aeropuerto,152242
2023,10,Polonia,Aeropuerto,152242
2023,9,Polonia,Aeropuerto,152242
2023,3,Polonia,Aeropuerto,152242
2023,1,Polonia,Aeropuerto,152242
2023,6,Polonia,Aeropuerto,152242
2023,7,Polonia,Aeropuerto,152242
2023,5,Polonia,Aeropuerto,152242
2023,8,Polonia,Aeropuerto,152242
2023,4,Polonia,Aeropuerto,152242
2019,4,Suecia,Aeropuerto,151946
2023,12,Bélgica,Aeropuerto,151700
2023,3,Bélgica,Aeropuerto,151700
2022,9,Suiza,Aeropuerto,151334
2022,8,Suiza,Aeropuerto,151334
2022,5,Suiza,Aeropuerto,151334
2019,12,Suecia,Aeropuerto,149919
2019,3,Bélgica,Aeropuerto,149259
2019,9,Rusia,Aeropuerto,149169
