Anio,Mes,Pais,Medio_Acceso_Predicho,Num_Turistas
2019,1,Alemania,Aeropuerto,508806
2019,1,Alemania,Carretera,24637
2019,1,Alemania,Puerto,1607
2019,1,Alemania,Tren,536
2019,1,Argentina,Aeropuerto,43298
2019,1,Argentina,Carretera,2205
2019,1,Argentina,Puerto,938
2019,1,Argentina,Tren,469
2019,1,Austria,Aeropuerto,74936
2019,1,Austria,Carretera,2254
2019,1,Austria,Puerto,466
2019,1,Austria,Tren,78
2019,1,Brasil,Aeropuerto,35674
2019,1,Brasil,Carretera,9795
2019,1,Brasil,Puerto,1680
2019,1,Brasil,Tren,864
2019,1,Bélgica,Aeropuerto,109749
2019,1,Bélgica,Carretera,14776
2019,1,Bélgica,Puerto,1642
2019,1,Bélgica,Tren,126
2019,1,Canadá,Aeropuerto,18712
2019,1,Canadá,Carretera,1428
2019,1,Canadá,Puerto,1146
2019,1,Canadá,Tren,346
2019,1,China,Aeropuerto,31665
2019,1,China,Carretera,3389
2019,1,China,Puerto,1130
2019,1,China,Tren,255
2019,1,Corea del Sur,Aeropuerto,44717
2019,1,Corea del Sur,Carretera,7989
2019,1,Corea del Sur,Puerto,590
2019,1,Corea del Sur,Tren,375
2019,1,Dinamarca,Aeropuerto,61093
2019,1,Dinamarca,Carretera,1126
2019,1,Dinamarca,Puerto,250
2019,1,Dinamarca,Tren,63
2019,1,EE.UU.,Aeropuerto,125401
2019,1,EE.UU.,Carretera,4748
2019,1,EE.UU.,Puerto,7960
2019,1,EE.UU.,Tren,1536
2019,1,Finlandia,Aeropuerto,62382
2019,1,Finlandia,Carretera,760
2019,1,Finlandia,Puerto,63
2019,1,Finlandia,Tren,63
2019,1,Francia,Aeropuerto,309216
2019,1,Francia,Carretera,589647
2019,1,Francia,Puerto,16714
2019,1,Francia,Tren,13000
2019,1,Irlanda,Aeropuerto,178128
2019,1,Irlanda,Carretera,1814
2019,1,Irlanda,Puerto,1451
2019,1,Irlanda,Tren,0
2019,1,Italia,Aeropuerto,349396
2019,1,Italia,Carretera,17753
2019,1,Italia,Puerto,10199
2019,1,Italia,Tren,378
2019,1,Japón,Aeropuerto,47699
2019,1,Japón,Carretera,7395
2019,1,Japón,Puerto,1129
2019,1,Japón,Tren,282
2019,1,Luxemburgo,Aeropuerto,14231
2019,1,Luxemburgo,Carretera,1713
2019,1,Luxemburgo,Puerto,16
2019,1,Luxemburgo,Tren,48
2019,1,México,Aeropuerto,46608
2019,1,México,Carretera,697
2019,1,México,Puerto,2091
2019,1,México,Tren,398
2019,1,Noruega,Aeropuerto,120270
2019,1,Noruega,Carretera,2220
2019,1,Noruega,Puerto,740
2019,1,Noruega,Tren,123
2019,1,Países Bajos,Aeropuerto,272833
2019,1,Países Bajos,Carretera,32838
2019,1,Países Bajos,Puerto,921
2019,1,Países Bajos,Tren,307
2019,1,Polonia,Aeropuerto,106345
2019,1,Polonia,Carretera,7645
2019,1,Polonia,Puerto,114
2019,1,Polonia,Tren,0
2019,1,Portugal,Aeropuerto,34799
2019,1,Portugal,Carretera,165901
2019,1,Portugal,Puerto,607
2019,1,Portugal,Tren,1012
2019,1,Reino Unido,Aeropuerto,1447925
2019,1,Reino Unido,Carretera,37511
2019,1,Reino Unido,Puerto,12004
2019,1,Reino Unido,Tren,1500
2019,1,República Checa,Aeropuerto,18730
2019,1,República Checa,Carretera,521
2019,1,República Checa,Puerto,39
2019,1,República Checa,Tren,19
2019,1,Rusia,Aeropuerto,53094
2019,1,Rusia,Carretera,386
2019,1,Rusia,Puerto,1601
2019,1,Rusia,Tren,110
2019,1,Suecia,Aeropuerto,137765
2019,1,Suecia,Carretera,3121
2019,1,Suecia,Puerto,709
2019,1,Suecia,Tren,284
2019,1,Suiza,Aeropuerto,84607
2019,1,Suiza,Carretera,8951
2019,1,Suiza,Puerto,283
2019,1,Suiza,Tren,283
2019,2,Alemania,Aeropuerto,530006
2019,2,Alemania,Carretera,25663
2019,2,Alemania,Puerto,1674
2019,2,Alemania,Tren,558
2019,2,Argentina,Aeropuerto,38635
2019,2,Argentina,Carretera,1967
2019,2,Argentina,Puerto,837
2019,2,Argentina,Tren,419
2019,2,Austria,Aeropuerto,66865
2019,2,Austria,Carretera,2011
2019,2,Austria,Puerto,416
2019,2,Austria,Tren,69
2019,2,Brasil,Aeropuerto,26021
2019,2,Brasil,Carretera,7144
2019,2,Brasil,Puerto,1226
2019,2,Brasil,Tren,630
2019,2,Bélgica,Aeropuerto,114140
2019,2,Bélgica,Carretera,15367
2019,2,Bélgica,Puerto,1707
2019,2,Bélgica,Tren,131
2019,2,Canadá,Aeropuerto,28068
2019,2,Canadá,Carretera,2142
2019,2,Canadá,Puerto,1720
2019,2,Canadá,Tren,519
2019,2,China,Aeropuerto,47498
2019,2,China,Carretera,5083
2019,2,China,Puerto,1694
2019,2,China,Tren,383
2019,2,Corea del Sur,Aeropuerto,41034
2019,2,Corea del Sur,Carretera,7331
2019,2,Corea del Sur,Puerto,541
2019,2,Corea del Sur,Tren,344
2019,2,Dinamarca,Aeropuerto,68143
2019,2,Dinamarca,Carretera,1255
2019,2,Dinamarca,Puerto,279
2019,2,Dinamarca,Tren,70
2019,2,EE.UU.,Aeropuerto,134358
2019,2,EE.UU.,Carretera,5087
2019,2,EE.UU.,Puerto,8528
2019,2,EE.UU.,Tren,1646
2019,2,Finlandia,Aeropuerto,62382
2019,2,Finlandia,Carretera,760
2019,2,Finlandia,Puerto,63
2019,2,Finlandia,Tren,63
2019,2,Francia,Aeropuerto,309216
2019,2,Francia,Carretera,589647
2019,2,Francia,Puerto,16714
2019,2,Francia,Tren,13000
2019,2,Irlanda,Aeropuerto,178128
2019,2,Irlanda,Carretera,1814
2019,2,Irlanda,Puerto,1451
2019,2,Irlanda,Tren,0
2019,2,Italia,Aeropuerto,349396
2019,2,Italia,Carretera,17753
2019,2,Italia,Puerto,10199
2019,2,Italia,Tren,378
2019,2,Japón,Aeropuerto,47699
2019,2,Japón,Carretera,7395
2019,2,Japón,Puerto,1129
2019,2,Japón,Tren,282
2019,2,Luxemburgo,Aeropuerto,14231
2019,2,Luxemburgo,Carretera,1713
2019,2,Luxemburgo,Puerto,16
2019,2,Luxemburgo,Tren,48
2019,2,México,Aeropuerto,46608
2019,2,México,Carretera,697
2019,2,México,Puerto,2091
2019,2,México,Tren,398
2019,2,Noruega,Aeropuerto,120270
2019,2,Noruega,Carretera,2220
2019,2,Noruega,Puerto,740
2019,2,Noruega,Tren,123
2019,2,Países Bajos,Aeropuerto,272833
2019,2,Países Bajos,Carretera,32838
2019,2,Países Bajos,Puerto,921
2019,2,Países Bajos,Tren,307
2019,2,Polonia,Aeropuerto,106345
2019,2,Polonia,Carretera,7645
2019,2,Polonia,Puerto,114
2019,2,Polonia,Tren,0
2019,2,Portugal,Aeropuerto,34799
2019,2,Portugal,Carretera,165901
2019,2,Portugal,Puerto,607
2019,2,Portugal,Tren,1012
2019,2,Reino Unido,Aeropuerto,1447925
2019,2,Reino Unido,Carretera,37511
2019,2,Reino Unido,Puerto,12004
2019,2,Reino Unido,Tren,1500
2019,2,República Checa,Aeropuerto,20067
2019,2,República Checa,Carretera,559
2019,2,República Checa,Puerto,41
2019,2,República Checa,Tren,21
2019,2,Rusia,Aeropuerto,60679
2019,2,Rusia,Carretera,442
2019,2,Rusia,Puerto,1829
2019,2,Rusia,Tren,126
2019,2,Suecia,Aeropuerto,111427
2019,2,Suecia,Carretera,2525
2019,2,Suecia,Puerto,574
2019,2,Suecia,Tren,230
2019,2,Suiza,Aeropuerto,89488
2019,2,Suiza,Carretera,9467
2019,2,Suiza,Puerto,299
2019,2,Suiza,Tren,299
2019,3,Alemania,Aeropuerto,657207
2019,3,Alemania,Carretera,31823
2019,3,Alemania,Puerto,2075
2019,3,Alemania,Tren,692
2019,3,Argentina,Aeropuerto,41300
2019,3,Argentina,Carretera,2103
2019,3,Argentina,Puerto,895
2019,3,Argentina,Tren,447
2019,3,Austria,Aeropuerto,71477
2019,3,Austria,Carretera,2150
2019,3,Austria,Puerto,445
2019,3,Austria,Tren,74
2019,3,Brasil,Aeropuerto,36932
2019,3,Brasil,Carretera,10140
2019,3,Brasil,Puerto,1740
2019,3,Brasil,Tren,895
2019,3,Bélgica,Aeropuerto,149259
2019,3,Bélgica,Carretera,20096
2019,3,Bélgica,Puerto,2233
2019,3,Bélgica,Tren,172
2019,3,Canadá,Aeropuerto,38203
2019,3,Canadá,Carretera,2915
2019,3,Canadá,Puerto,2341
2019,3,Canadá,Tren,707
2019,3,China,Aeropuerto,39582
2019,3,China,Carretera,4236
2019,3,China,Puerto,1412
2019,3,China,Tren,319
2019,3,Corea del Sur,Aeropuerto,43139
2019,3,Corea del Sur,Carretera,7707
2019,3,Corea del Sur,Puerto,569
2019,3,Corea del Sur,Tren,362
2019,3,Dinamarca,Aeropuerto,84591
2019,3,Dinamarca,Carretera,1558
2019,3,Dinamarca,Puerto,346
