Anio,Mes,Pais,Medio_Acceso_Predicho,Destino_Principal,Num_Turistas
2019,1,Alemania,Aeropuerto,Baleares,508806
2019,1,Alemania,Carretera,Canarias,24637
2019,1,Alemania,Puerto,Baleares,1607
2019,1,Alemania,Tren,Canarias,536
2019,1,Argentina,Aeropuerto,Comunidad de Madrid,43298
2019,1,Argentina,Carretera,Cataluña,2205
2019,1,Argentina,Puerto,Andalucía,938
2019,1,Argentina,Tren,Cataluña,469
2019,1,Austria,Aeropuerto,Canarias,74936
2019,1,Austria,Carretera,Baleares,2254
2019,1,Austria,Puerto,Andalucía,466
2019,1,Austria,Tren,Comunidad Valenciana,78
2019,1,Brasil,Aeropuerto,Cataluña,35674
2019,1,Brasil,Carretera,Comunidad de Madrid,9795
2019,1,Brasil,Puerto,Cataluña,1680
2019,1,Brasil,Tren,Comunidad de Madrid,864
2019,1,Bélgica,Aeropuerto,Comunidad Valenciana,109749
2019,1,Bélgica,Carretera,Andalucía,14776
2019,1,Bélgica,Puerto,Baleares,1642
2019,1,Bélgica,Tren,Canarias,126
2019,1,Canadá,Aeropuerto,Cataluña,18712
2019,1,Canadá,Carretera,Comunidad de Madrid,1428
2019,1,Canadá,Puerto,Andalucía,1146
2019,1,Canadá,Tren,Cataluña,346
2019,1,China,Aeropuerto,Cataluña,31665
2019,1,China,Carretera,Andalucía,3389
2019,1,China,Puerto,Cataluña,1130
2019,1,China,Tren,Cataluña,255
2019,1,Corea del Sur,Aeropuerto,Cataluña,44717
2019,1,Corea del Sur,Carretera,Cataluña,7989
2019,1,Corea del Sur,Puerto,Cataluña,590
2019,1,Corea del Sur,Tren,Andalucía,375
2019,1,Dinamarca,Aeropuerto,Andalucía,61093
2019,1,Dinamarca,Carretera,Baleares,1126
2019,1,Dinamarca,Puerto,Canarias,250
2019,1,Dinamarca,Tren,Andalucía,63
2019,1,EE.UU.,Aeropuerto,Comunidad de Madrid,125401
2019,1,EE.UU.,Carretera,Andalucía,4748
2019,1,EE.UU.,Puerto,Cataluña,7960
2019,1,EE.UU.,Tren,Comunidad de Madrid,1536
2019,1,Finlandia,Aeropuerto,Andalucía,62382
2019,1,Finlandia,Carretera,Andalucía,760
2019,1,Finlandia,Puerto,Andalucía,63
2019,1,Finlandia,Tren,Canarias,63
2019,1,Francia,Aeropuerto,Cataluña,309216
2019,1,Francia,Carretera,Andalucía,589647
2019,1,Francia,Puerto,Comunidad Valenciana,16714
2019,1,Francia,Tren,Cataluña,13000
2019,1,Irlanda,Aeropuerto,Canarias,178128
2019,1,Irlanda,Carretera,Andalucía,1814
2019,1,Irlanda,Puerto,Baleares,1451
2019,1,Irlanda,Tren,Andalucía,0
2019,1,Italia,Aeropuerto,Andalucía,349396
2019,1,Italia,Carretera,Andalucía,17753
2019,1,Italia,Puerto,Comunidad Valenciana,10199
2019,1,Italia,Tren,Baleares,378
2019,1,Japón,Aeropuerto,Cataluña,47699
2019,1,Japón,Carretera,Cataluña,7395
2019,1,Japón,Puerto,Cataluña,1129
2019,1,Japón,Tren,Cataluña,282
2019,1,Luxemburgo,Aeropuerto,Baleares,14231
2019,1,Luxemburgo,Carretera,Baleares,1713
2019,1,Luxemburgo,Puerto,Baleares,16
2019,1,Luxemburgo,Tren,Cataluña,48
2019,1,México,Aeropuerto,Comunidad de Madrid,46608
2019,1,México,Carretera,Comunidad de Madrid,697
2019,1,México,Puerto,Comunidad de Madrid,2091
2019,1,México,Tren,Cataluña,398
2019,1,Noruega,Aeropuerto,Baleares,120270
2019,1,Noruega,Carretera,Canarias,2220
2019,1,Noruega,Puerto,Andalucía,740
